num,date,HHA71AS001XQ01Value,HHA72AS001XQ01Value,HHA73AS001XQ01Value,HHA74AS001XQ01Value,HHA81AS001XQ01Value,HHA82AS001XQ01Value,HHA83AS001XQ01Value,HHA84AS001XQ01Value
0,2016-3-1 00:00:00,80,80,80,80,80,80,80,80
1,2016-3-1 00:10:00,80,80,80,80,80,80,80,80
2,2016-3-1 00:20:00,80,80,80,80,80,80,80,80
3,2016-3-1 00:30:00,80,80,80,80,80,80,80,80
4,2016-3-1 00:40:00,80,80,80,80,80,80,80,80
5,2016-3-1 00:50:00,80,80,80,80,80,80,80,80
6,2016-3-1 01:00:00,80,80,80,80,80,80,80,80
7,2016-3-1 01:10:00,80,80,80,80,80,80,80,80
8,2016-3-1 01:20:00,80,80,80,80,80,80,80,80
9,2016-3-1 01:30:00,80,80,80,80,80,80,80,80
10,2016-3-1 01:40:00,80,80,80,80,80,80,80,80
11,2016-3-1 01:50:00,80,80,80,80,80,80,80,80
12,2016-3-1 02:00:00,85,85,85,85,85,85,85,85
13,2016-3-1 02:10:00,85,85,85,85,85,85,85,85
14,2016-3-1 02:20:00,85,85,85,85,85,85,85,85
15,2016-3-1 02:30:00,85,85,85,85,85,85,85,85
16,2016-3-1 02:40:00,85,85,85,85,85,85,85,85
17,2016-3-1 02:50:00,85,85,85,85,85,85,85,85
18,2016-3-1 03:00:00,85,85,85,85,85,85,85,85
19,2016-3-1 03:10:00,85,85,85,85,85,85,85,85
20,2016-3-1 03:20:00,85,85,85,85,85,85,85,85
21,2016-3-1 03:30:00,85,85,85,85,85,85,85,85
22,2016-3-1 03:40:00,85,85,85,85,85,85,85,85
23,2016-3-1 03:50:00,85,85,85,85,85,85,85,85
24,2016-3-1 04:00:00,85,85,85,85,85,85,85,85
25,2016-3-1 04:10:00,85,85,85,85,85,85,85,85
26,2016-3-1 04:20:00,85,85,85,85,85,85,85,85
27,2016-3-1 04:30:00,85,85,85,85,85,85,85,85
28,2016-3-1 04:40:00,85,85,85,85,85,85,85,85
29,2016-3-1 04:50:00,85,85,85,85,85,85,85,85
30,2016-3-1 05:00:00,85,85,85,85,85,85,85,85
31,2016-3-1 05:10:00,85,85,85,85,85,85,85,85
32,2016-3-1 05:20:00,85,85,85,85,85,85,85,85
33,2016-3-1 05:30:00,85,85,85,85,85,85,85,85
34,2016-3-1 05:40:00,85,85,85,85,85,85,85,85
35,2016-3-1 05:50:00,85,85,85,85,85,85,85,85
36,2016-3-1 06:00:00,85,85,85,85,85,85,85,85
37,2016-3-1 06:10:00,85,85,85,85,85,85,85,85
38,2016-3-1 06:20:00,85,85,85,85,85,85,85,85
39,2016-3-1 06:30:00,85,85,85,85,85,85,85,85
40,2016-3-1 06:40:00,85,85,85,85,85,85,85,85
41,2016-3-1 06:50:00,85,85,85,85,85,85,85,85
42,2016-3-1 07:00:00,85,85,85,85,85,85,85,85
43,2016-3-1 07:10:00,85,85,85,85,85,85,85,85
44,2016-3-1 07:20:00,85,85,85,85,85,85,85,85
45,2016-3-1 07:30:00,85,85,85,85,85,85,85,85
46,2016-3-1 07:40:00,85,85,85,85,85,85,85,85
47,2016-3-1 07:50:00,85,85,85,85,85,85,85,85
48,2016-3-1 08:00:00,85,85,85,85,85,85,85,85
49,2016-3-1 08:10:00,85,85,85,85,85,85,85,85
50,2016-3-1 08:20:00,85,85,85,85,85,85,85,85
51,2016-3-1 08:30:00,85,85,85,85,85,85,85,85
52,2016-3-1 08:40:00,85,85,85,85,85,85,85,85
53,2016-3-1 08:50:00,85,85,85,85,85,85,85,85
54,2016-3-1 09:00:00,85,85,85,85,85,85,85,85
55,2016-3-1 09:10:00,85,85,85,85,85,85,85,85
56,2016-3-1 09:20:00,85,85,85,85,85,85,85,85
57,2016-3-1 09:30:00,85,85,85,85,85,85,85,85
58,2016-3-1 09:40:00,85,85,85,85,85,85,85,85
59,2016-3-1 09:50:00,85,85,85,85,85,85,85,85
60,2016-3-1 10:00:00,85,85,85,85,85,85,85,85
61,2016-3-1 10:10:00,85,85,85,85,85,85,85,85
62,2016-3-1 10:20:00,85,85,85,85,85,85,85,85
63,2016-3-1 10:30:00,85,85,85,85,85,85,85,85
64,2016-3-1 10:40:00,85,85,85,85,85,85,85,85
65,2016-3-1 10:50:00,85,85,85,85,85,85,85,85
66,2016-3-1 11:00:00,85,85,85,85,85,85,85,85
67,2016-3-1 11:10:00,85,85,85,85,85,85,85,85
68,2016-3-1 11:20:00,85,85,85,85,85,85,85,85
69,2016-3-1 11:30:00,85,85,85,85,85,85,85,85
70,2016-3-1 11:40:00,85,85,85,85,85,85,85,85
71,2016-3-1 11:50:00,85,85,85,85,85,85,85,85
72,2016-3-1 12:00:00,85,85,85,85,85,85,85,85
73,2016-3-1 12:10:00,85,85,85,85,85,85,85,85
74,2016-3-1 12:20:00,85,85,85,85,85,85,85,85
75,2016-3-1 12:30:00,85,85,85,85,85,85,85,85
76,2016-3-1 12:40:00,85,85,85,85,85,85,85,85
77,2016-3-1 12:50:00,85,85,85,85,85,85,85,85
78,2016-3-1 13:00:00,85,85,85,85,85,85,85,85
79,2016-3-1 13:10:00,85,85,85,85,85,85,85,85
80,2016-3-1 13:20:00,85,85,85,85,85,85,85,85
81,2016-3-1 13:30:00,85,85,85,85,85,85,85,85
82,2016-3-1 13:40:00,85,85,85,85,85,85,85,85
83,2016-3-1 13:50:00,85,85,85,85,85,85,85,85
84,2016-3-1 14:00:00,85,85,85,85,85,85,85,85
85,2016-3-1 14:10:00,85,85,85,85,85,85,85,85
86,2016-3-1 14:20:00,85,85,85,85,85,85,85,85
87,2016-3-1 14:30:00,85,85,85,85,85,85,85,85
88,2016-3-1 14:40:00,85,85,85,85,85,85,85,85
89,2016-3-1 14:50:00,85,85,85,85,85,85,85,85
90,2016-3-1 15:00:00,85,85,85,85,85,85,85,85
91,2016-3-1 15:10:00,85,85,85,85,85,85,85,85
92,2016-3-1 15:20:00,85,85,85,85,85,85,85,85
93,2016-3-1 15:30:00,85,85,85,85,85,85,85,85
94,2016-3-1 15:40:00,85,85,85,85,85,85,85,85
95,2016-3-1 15:50:00,85,85,85,85,85,85,85,85
96,2016-3-1 16:00:00,85,85,85,85,85,85,85,85
97,2016-3-1 16:10:00,85,85,85,85,85,85,85,85
98,2016-3-1 16:20:00,85,85,85,85,85,85,85,85
99,2016-3-1 16:30:00,85,85,85,85,85,85,85,85
100,2016-3-1 16:40:00,85,85,85,85,85,85,85,85
101,2016-3-1 16:50:00,85,85,85,85,85,85,85,85
102,2016-3-1 17:00:00,85,85,85,85,85,85,85,85
103,2016-3-1 17:10:00,85,85,85,85,85,85,85,85
104,2016-3-1 17:20:00,85,85,85,85,85,85,85,85
105,2016-3-1 17:30:00,85,85,85,85,85,85,85,85
106,2016-3-1 17:40:00,85,85,85,85,85,85,85,85
107,2016-3-1 17:50:00,85,85,85,85,85,85,85,85
108,2016-3-1 18:00:00,85,85,85,85,85,85,85,85
109,2016-3-1 18:10:00,85,85,85,85,85,85,85,85
110,2016-3-1 18:20:00,85,85,85,85,85,85,85,85
111,2016-3-1 18:30:00,85,85,85,85,85,85,85,85
112,2016-3-1 18:40:00,85,85,85,85,85,85,85,85
113,2016-3-1 18:50:00,85,85,85,85,85,85,85,85
114,2016-3-1 19:00:00,85,85,85,85,85,85,85,85
115,2016-3-1 19:10:00,85,85,85,85,85,85,85,85
116,2016-3-1 19:20:00,85,85,85,85,85,85,85,85
117,2016-3-1 19:30:00,85,85,85,85,85,85,85,85
118,2016-3-1 19:40:00,85,85,85,85,85,85,85,85
119,2016-3-1 19:50:00,85,85,85,85,85,85,85,85
120,2016-3-1 20:00:00,80,80,80,80,80,80,80,80
121,2016-3-1 20:10:00,80,80,80,80,80,80,80,80
122,2016-3-1 20:20:00,80,80,80,80,80,80,80,80
123,2016-3-1 20:30:00,80,80,80,80,80,80,80,80
124,2016-3-1 20:40:00,80,80,80,80,80,80,80,80
125,2016-3-1 20:50:00,80,80,80,80,80,80,80,80
126,2016-3-1 21:00:00,80,80,80,80,80,80,80,80
127,2016-3-1 21:10:00,80,80,80,80,80,80,80,80
128,2016-3-1 21:20:00,80,80,80,80,80,80,80,80
129,2016-3-1 21:30:00,80,80,80,80,75,75,75,75
130,2016-3-1 21:40:00,80,80,80,80,75,75,75,75
131,2016-3-1 21:50:00,80,80,80,80,75,75,75,75
132,2016-3-1 22:00:00,80,80,80,80,80,80,80,80
133,2016-3-1 22:10:00,80,80,80,80,80,80,80,80
134,2016-3-1 22:20:00,75,75,75,75,80,80,80,80
135,2016-3-1 22:30:00,80,80,80,80,80,80,80,80
136,2016-3-1 22:40:00,80,80,80,80,80,80,80,80
137,2016-3-1 22:50:00,80,80,80,80,80,80,80,80
138,2016-3-1 23:00:00,80,80,80,80,80,80,80,80
139,2016-3-1 23:10:00,85,85,85,85,85,85,85,85
140,2016-3-1 23:20:00,85,85,85,85,85,85,85,85
141,2016-3-1 23:30:00,85,85,85,85,85,85,85,85
142,2016-3-1 23:40:00,85,85,85,85,85,85,85,85
143,2016-3-1 23:50:00,85,85,85,85,85,85,85,85
144,2016-3-2 00:00:00,85,85,85,85,85,85,85,85
145,2016-3-2 00:10:00,80,80,80,80,80,80,80,80
146,2016-3-2 00:20:00,80,80,80,80,80,80,80,80
147,2016-3-2 00:30:00,80,80,80,80,80,80,80,80
148,2016-3-2 00:40:00,80,80,80,80,80,80,80,80
149,2016-3-2 00:50:00,80,80,80,80,80,80,80,80
150,2016-3-2 01:00:00,80,80,80,80,80,80,80,80
151,2016-3-2 01:10:00,80,80,80,80,80,80,80,80
152,2016-3-2 01:20:00,80,80,80,80,80,80,80,80
153,2016-3-2 01:30:00,80,80,80,80,80,80,80,80
154,2016-3-2 01:40:00,80,80,80,80,80,80,80,80
155,2016-3-2 01:50:00,80,80,80,80,80,80,80,80
156,2016-3-2 02:00:00,80,80,80,80,80,80,80,80
157,2016-3-2 02:10:00,80,80,80,80,80,80,80,80
158,2016-3-2 02:20:00,80,80,80,80,80,80,80,80
159,2016-3-2 02:30:00,80,80,80,80,80,80,80,80
160,2016-3-2 02:40:00,80,80,80,80,80,80,80,80
161,2016-3-2 02:50:00,80,80,80,80,80,80,80,80
162,2016-3-2 03:00:00,80,80,80,80,80,80,80,80
163,2016-3-2 03:10:00,80,80,80,80,80,80,80,80
164,2016-3-2 03:20:00,80,80,80,80,80,80,80,80
165,2016-3-2 03:30:00,80,80,80,80,80,80,80,80
166,2016-3-2 03:40:00,80,80,80,80,80,80,80,80
167,2016-3-2 03:50:00,80,80,80,80,80,80,80,80
168,2016-3-2 04:00:00,80,80,80,80,80,80,80,80
169,2016-3-2 04:10:00,80,80,80,80,80,80,80,80
170,2016-3-2 04:20:00,80,80,80,80,80,80,80,80
171,2016-3-2 04:30:00,80,80,80,80,80,80,80,80
172,2016-3-2 04:40:00,80,80,80,80,80,80,80,80
173,2016-3-2 04:50:00,80,80,80,80,80,80,80,80
174,2016-3-2 05:00:00,82,82,82,82,82,82,82,82
175,2016-3-2 05:10:00,83,83,83,83,83,83,83,83
176,2016-3-2 05:20:00,80,80,80,80,80,80,80,80
177,2016-3-2 05:30:00,78,78,78,78,78,78,78,78
178,2016-3-2 05:40:00,78,78,78,78,78,78,78,78
179,2016-3-2 05:50:00,80,80,80,80,80,80,80,80
180,2016-3-2 06:00:00,82,82,82,82,82,82,82,82
181,2016-3-2 06:10:00,82,82,82,82,82,82,82,82
182,2016-3-2 06:20:00,82,82,82,82,82,82,82,82
183,2016-3-2 06:30:00,82,82,82,82,82,82,82,82
184,2016-3-2 06:40:00,82,82,82,82,82,82,82,82
185,2016-3-2 06:50:00,82,82,82,82,82,82,82,82
186,2016-3-2 07:00:00,85,85,85,85,85,85,85,85
187,2016-3-2 07:10:00,85,85,85,85,85,85,85,85
188,2016-3-2 07:20:00,85,85,85,85,85,85,85,85
189,2016-3-2 07:30:00,85,85,85,85,85,85,85,85
190,2016-3-2 07:40:00,85,85,85,85,85,85,85,85
191,2016-3-2 07:50:00,85,85,85,85,85,85,85,85
192,2016-3-2 08:00:00,85,85,85,85,85,85,85,85
193,2016-3-2 08:10:00,85,85,85,85,85,85,85,85
194,2016-3-2 08:20:00,85,85,85,85,85,85,85,85
195,2016-3-2 08:30:00,85,85,85,85,85,85,85,85
196,2016-3-2 08:40:00,85,85,85,85,85,85,85,85
197,2016-3-2 08:50:00,85,85,85,85,85,85,85,85
198,2016-3-2 09:00:00,85,85,85,85,85,85,85,85
199,2016-3-2 09:10:00,85,85,85,85,85,85,85,85
200,2016-3-2 09:20:00,85,85,85,85,85,85,85,85
201,2016-3-2 09:30:00,85,85,85,85,85,85,85,85
202,2016-3-2 09:40:00,85,85,85,85,85,85,85,85
203,2016-3-2 09:50:00,85,85,85,85,85,85,85,85
204,2016-3-2 10:00:00,85,85,85,85,85,85,85,85
205,2016-3-2 10:10:00,85,85,85,85,85,85,85,85
206,2016-3-2 10:20:00,85,85,85,85,85,85,85,85
207,2016-3-2 10:30:00,85,85,85,85,85,85,85,85
208,2016-3-2 10:40:00,85,85,85,85,85,85,85,85
209,2016-3-2 10:50:00,85,85,85,85,85,85,85,85
210,2016-3-2 11:00:00,85,85,85,85,85,85,85,85
211,2016-3-2 11:10:00,80,80,80,80,80,80,80,80
212,2016-3-2 11:20:00,80,80,80,80,80,80,80,80
213,2016-3-2 11:30:00,80,80,80,80,80,80,80,80
214,2016-3-2 11:40:00,80,80,80,80,80,80,80,80
215,2016-3-2 11:50:00,80,80,80,80,80,80,80,80
216,2016-3-2 12:00:00,80,80,80,80,80,80,80,80
217,2016-3-2 12:10:00,80,80,80,80,80,80,80,80
218,2016-3-2 12:20:00,80,80,80,80,80,80,80,80
219,2016-3-2 12:30:00,80,80,80,80,80,80,80,80
220,2016-3-2 12:40:00,80,80,80,80,80,80,80,80
221,2016-3-2 12:50:00,80,80,80,80,80,80,80,80
222,2016-3-2 13:00:00,80,80,80,80,80,80,80,80
223,2016-3-2 13:10:00,80,80,80,80,80,80,80,80
224,2016-3-2 13:20:00,80,80,80,80,80,80,80,80
225,2016-3-2 13:30:00,80,80,80,80,80,80,80,80
226,2016-3-2 13:40:00,80,80,80,80,80,80,80,80
227,2016-3-2 13:50:00,80,80,80,80,80,80,80,80
228,2016-3-2 14:00:00,80,80,80,80,80,80,80,80
229,2016-3-2 14:10:00,80,80,80,80,80,80,80,80
230,2016-3-2 14:20:00,80,80,80,80,80,80,80,80
231,2016-3-2 14:30:00,80,80,80,80,80,80,80,80
232,2016-3-2 14:40:00,80,80,80,80,80,80,80,80
233,2016-3-2 14:50:00,80,80,80,80,80,80,80,80
234,2016-3-2 15:00:00,85,85,85,85,80,80,80,80
235,2016-3-2 15:10:00,85,85,85,85,85,85,85,85
236,2016-3-2 15:20:00,85,85,85,85,85,85,85,85
237,2016-3-2 15:30:00,85,85,85,85,85,85,85,85
238,2016-3-2 15:40:00,85,85,85,85,85,85,85,85
239,2016-3-2 15:50:00,85,85,85,85,85,85,85,85
240,2016-3-2 16:00:00,85,85,85,85,85,85,85,85
241,2016-3-2 16:10:00,85,85,85,85,85,85,85,85
242,2016-3-2 16:20:00,85,85,85,85,85,85,85,85
243,2016-3-2 16:30:00,85,85,85,85,85,85,85,85
244,2016-3-2 16:40:00,85,85,85,85,85,85,85,85
245,2016-3-2 16:50:00,85,85,85,85,85,85,85,85
246,2016-3-2 17:00:00,85,85,85,85,85,85,85,85
247,2016-3-2 17:10:00,85,85,85,85,85,85,85,85
248,2016-3-2 17:20:00,85,85,85,85,85,85,85,85
249,2016-3-2 17:30:00,85,85,85,85,85,85,85,85
250,2016-3-2 17:40:00,85,85,85,85,85,85,85,85
251,2016-3-2 17:50:00,85,85,85,85,85,85,85,85
252,2016-3-2 18:00:00,85,85,85,85,85,85,85,85
253,2016-3-2 18:10:00,85,85,85,85,85,85,85,85
254,2016-3-2 18:20:00,85,85,85,85,85,85,85,85
255,2016-3-2 18:30:00,85,85,85,85,85,85,85,85
256,2016-3-2 18:40:00,80,80,80,80,80,80,80,80
