时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-7 22:40:00,	765.312,	0x0000,	766.712,	0x0000,	584.326,	0x0000,
	2016-3-7 22:41:00,	765.312,	0x0000,	767.729,	0x0000,	584.218,	0x0000,
	2016-3-7 22:42:00,	767.881,	0x0000,	765.728,	0x0000,	584.111,	0x0000,
	2016-3-7 22:43:00,	763.599,	0x0000,	766.782,	0x0000,	584.111,	0x0000,
	2016-3-7 22:44:00,	763.599,	0x0000,	761.781,	0x0000,	583.997,	0x0000,
	2016-3-7 22:45:00,	761.029,	0x0000,	763.453,	0x0000,	583.889,	0x0000,
	2016-3-7 22:46:00,	762.742,	0x0000,	760.806,	0x0000,	583.889,	0x0000,
	2016-3-7 22:47:00,	760.172,	0x0000,	760.806,	0x0000,	583.889,	0x0000,
	2016-3-7 22:48:00,	761.029,	0x0000,	761.91,	0x0000,	583.674,	0x0000,
	2016-3-7 22:49:00,	761.029,	0x0000,	758.608,	0x0000,	583.56,	0x0000,
	2016-3-7 22:50:00,	759.316,	0x0000,	759.671,	0x0000,	583.452,	0x0000,
	2016-3-7 22:51:00,	756.746,	0x0000,	756.442,	0x0000,	583.345,	0x0000,
	2016-3-7 22:52:00,	754.177,	0x0000,	756.442,	0x0000,	583.345,	0x0000,
	2016-3-7 22:53:00,	755.89,	0x0000,	752.89,	0x0000,	583.345,	0x0000,
	2016-3-7 22:54:00,	747.325,	0x0000,	747.889,	0x0000,	583.123,	0x0000,
	2016-3-7 22:55:00,	743.898,	0x0000,	742.888,	0x0000,	582.477,	0x0000,
	2016-3-7 22:56:00,	739.616,	0x0000,	741.335,	0x0000,	582.011,	0x0000,
	2016-3-7 22:57:00,	743.898,	0x0000,	746.335,	0x0000,	581.413,	0x0000,
	2016-3-7 22:58:00,	748.181,	0x0000,	751.336,	0x0000,	581.198,	0x0000,
	2016-3-7 22:59:00,	753.32,	0x0000,	752.747,	0x0000,	581.198,	0x0000,
	2016-3-7 23:00:00,	750.751,	0x0000,	747.913,	0x0000,	581.198,	0x0000,
	2016-3-7 23:01:00,	743.898,	0x0000,	742.911,	0x0000,	581.084,	0x0000,
	2016-3-7 23:02:00,	740.472,	0x0000,	740.307,	0x0000,	580.976,	0x0000,
	2016-3-7 23:03:00,	739.616,	0x0000,	740.307,	0x0000,	580.869,	0x0000,
	2016-3-7 23:04:00,	738.759,	0x0000,	740.307,	0x0000,	580.654,	0x0000,
	2016-3-7 23:05:00,	739.616,	0x0000,	740.307,	0x0000,	580.438,	0x0000,
	2016-3-7 23:06:00,	737.903,	0x0000,	740.307,	0x0000,	580.109,	0x0000,
	2016-3-7 23:07:00,	738.759,	0x0000,	740.022,	0x0000,	580.002,	0x0000,
	2016-3-7 23:08:00,	736.19,	0x0000,	737.355,	0x0000,	579.769,	0x0000,
	2016-3-7 23:09:00,	736.19,	0x0000,	737.355,	0x0000,	579.554,	0x0000,
	2016-3-7 23:10:00,	735.333,	0x0000,	737.355,	0x0000,	579.339,	0x0000,
	2016-3-7 23:11:00,	738.759,	0x0000,	737.355,	0x0000,	579.016,	0x0000,
	2016-3-7 23:12:00,	736.19,	0x0000,	734.175,	0x0000,	578.908,	0x0000,
	2016-3-7 23:13:00,	728.481,	0x0000,	730.308,	0x0000,	578.687,	0x0000,
	2016-3-7 23:14:00,	735.333,	0x0000,	740.105,	0x0000,	578.472,	0x0000,
	2016-3-7 23:15:00,	739.616,	0x0000,	739.011,	0x0000,	578.364,	0x0000,
	2016-3-7 23:16:00,	741.329,	0x0000,	736.292,	0x0000,	578.364,	0x0000,
	2016-3-7 23:17:00,	737.046,	0x0000,	738.095,	0x0000,	578.364,	0x0000,
	2016-3-7 23:18:00,	732.763,	0x0000,	727.216,	0x0000,	578.257,	0x0000,
	2016-3-7 23:19:00,	731.05,	0x0000,	733.7,	0x0000,	578.041,	0x0000,
	2016-3-7 23:20:00,	729.337,	0x0000,	725.509,	0x0000,	577.719,	0x0000,
	2016-3-7 23:21:00,	730.194,	0x0000,	730.581,	0x0000,	577.396,	0x0000,
	2016-3-7 23:22:00,	727.624,	0x0000,	728.571,	0x0000,	577.181,	0x0000,
	2016-3-7 23:23:00,	727.624,	0x0000,	726.717,	0x0000,	576.859,	0x0000,
	2016-3-7 23:24:00,	724.198,	0x0000,	721.717,	0x0000,	576.536,	0x0000,
	2016-3-7 23:25:00,	719.059,	0x0000,	716.716,	0x0000,	576.214,	0x0000,
	2016-3-7 23:26:00,	711.35,	0x0000,	712.454,	0x0000,	576.106,	0x0000,
	2016-3-7 23:27:00,	713.92,	0x0000,	718.227,	0x0000,	575.784,	0x0000,
	2016-3-7 23:28:00,	714.776,	0x0000,	713.224,	0x0000,	575.658,	0x0000,
	2016-3-7 23:29:00,	713.92,	0x0000,	716.626,	0x0000,	575.436,	0x0000,
	2016-3-7 23:30:00,	714.776,	0x0000,	717.439,	0x0000,	575.436,	0x0000,
	2016-3-7 23:31:00,	724.198,	0x0000,	726.374,	0x0000,	575.329,	0x0000,
	2016-3-7 23:32:00,	724.198,	0x0000,	721.559,	0x0000,	575.436,	0x0000,
	2016-3-7 23:33:00,	726.768,	0x0000,	726.374,	0x0000,	575.669,	0x0000,
	2016-3-7 23:34:00,	720.772,	0x0000,	713.118,	0x0000,	575.992,	0x0000,
	2016-3-7 23:35:00,	713.063,	0x0000,	717.144,	0x0000,	575.992,	0x0000,
	2016-3-7 23:36:00,	719.059,	0x0000,	715.334,	0x0000,	575.884,	0x0000,
	2016-3-7 23:37:00,	714.776,	0x0000,	718.295,	0x0000,	575.669,	0x0000,
	2016-3-7 23:38:00,	724.198,	0x0000,	726.374,	0x0000,	575.347,	0x0000,
	2016-3-7 23:39:00,	727.624,	0x0000,	726.374,	0x0000,	575.132,	0x0000,
	2016-3-7 23:40:00,	726.768,	0x0000,	726.374,	0x0000,	575.024,	0x0000,
	2016-3-7 23:41:00,	726.768,	0x0000,	726.374,	0x0000,	575.024,	0x0000,
	2016-3-7 23:42:00,	726.768,	0x0000,	724.435,	0x0000,	575.257,	0x0000,
	2016-3-7 23:43:00,	725.055,	0x0000,	729.991,	0x0000,	575.58,	0x0000,
	2016-3-7 23:44:00,	725.055,	0x0000,	723.443,	0x0000,	575.687,	0x0000,
	2016-3-7 23:45:00,	729.337,	0x0000,	735.165,	0x0000,	575.795,	0x0000,
	2016-3-7 23:46:00,	732.763,	0x0000,	724.534,	0x0000,	576.01,	0x0000,
	2016-3-7 23:47:00,	719.059,	0x0000,	722.362,	0x0000,	576.117,	0x0000,
	2016-3-7 23:48:00,	727.624,	0x0000,	726.3,	0x0000,	576.117,	0x0000,
	2016-3-7 23:49:00,	725.911,	0x0000,	725.675,	0x0000,	576.243,	0x0000,
	2016-3-7 23:50:00,	731.907,	0x0000,	733.082,	0x0000,	576.35,	0x0000,
	2016-3-7 23:51:00,	731.05,	0x0000,	731.421,	0x0000,	576.565,	0x0000,
	2016-3-7 23:52:00,	737.046,	0x0000,	736.63,	0x0000,	576.78,	0x0000,
	2016-3-7 23:53:00,	738.759,	0x0000,	736.63,	0x0000,	577.318,	0x0000,
	2016-3-7 23:54:00,	737.903,	0x0000,	736.63,	0x0000,	577.909,	0x0000,
	2016-3-7 23:55:00,	735.333,	0x0000,	736.63,	0x0000,	578.375,	0x0000,
	2016-3-7 23:56:00,	737.046,	0x0000,	736.63,	0x0000,	578.74,	0x0000,
	2016-3-7 23:57:00,	736.19,	0x0000,	736.63,	0x0000,	578.956,	0x0000,
	2016-3-7 23:58:00,	737.903,	0x0000,	736.63,	0x0000,	579.063,	0x0000,
	2016-3-7 23:59:00,	735.333,	0x0000,	736.63,	0x0000,	579.171,	0x0000,
	2016-3-8 00:00:00,	737.046,	0x0000,	738.256,	0x0000,	579.278,	0x0000,
	2016-3-8 00:01:00,	744.755,	0x0000,	747.619,	0x0000,	579.493,	0x0000,
	2016-3-8 00:02:00,	751.607,	0x0000,	747.619,	0x0000,	579.923,	0x0000,
	2016-3-8 00:03:00,	753.32,	0x0000,	757.143,	0x0000,	580.372,	0x0000,
	2016-3-8 00:04:00,	755.033,	0x0000,	749.702,	0x0000,	580.838,	0x0000,
	2016-3-8 00:05:00,	756.746,	0x0000,	754.642,	0x0000,	581.286,	0x0000,
	2016-3-8 00:06:00,	752.464,	0x0000,	753.435,	0x0000,	581.716,	0x0000,
