时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-21 20:00:00,	800.43,	0x0000,	801.099,	0x0000,	588.493,	0x0000,
	2016-3-21 20:01:00,	800.43,	0x0000,	801.832,	0x0000,	588.493,	0x0000,
	2016-3-21 20:02:00,	803.856,	0x0000,	803.297,	0x0000,	588.493,	0x0000,
	2016-3-21 20:03:00,	805.569,	0x0000,	804.734,	0x0000,	588.379,	0x0000,
	2016-3-21 20:04:00,	806.425,	0x0000,	805.495,	0x0000,	588.271,	0x0000,
	2016-3-21 20:05:00,	808.138,	0x0000,	806.96,	0x0000,	588.164,	0x0000,
	2016-3-21 20:06:00,	808.138,	0x0000,	806.272,	0x0000,	588.056,	0x0000,
	2016-3-21 20:07:00,	805.569,	0x0000,	804.762,	0x0000,	587.841,	0x0000,
	2016-3-21 20:08:00,	805.569,	0x0000,	804.762,	0x0000,	587.733,	0x0000,
	2016-3-21 20:09:00,	805.569,	0x0000,	804.762,	0x0000,	587.518,	0x0000,
	2016-3-21 20:10:00,	805.569,	0x0000,	804.762,	0x0000,	587.392,	0x0000,
	2016-3-21 20:11:00,	805.569,	0x0000,	805.495,	0x0000,	587.285,	0x0000,
	2016-3-21 20:12:00,	806.425,	0x0000,	806.227,	0x0000,	587.063,	0x0000,
	2016-3-21 20:13:00,	807.282,	0x0000,	806.96,	0x0000,	587.009,	0x0000,
	2016-3-21 20:14:00,	807.282,	0x0000,	807.692,	0x0000,	586.794,	0x0000,
	2016-3-21 20:15:00,	808.138,	0x0000,	808.38,	0x0000,	586.794,	0x0000,
	2016-3-21 20:16:00,	809.851,	0x0000,	806.96,	0x0000,	586.955,	0x0000,
	2016-3-21 20:17:00,	809.851,	0x0000,	806.96,	0x0000,	587.063,	0x0000,
	2016-3-21 20:18:00,	805.569,	0x0000,	806.227,	0x0000,	587.081,	0x0000,
	2016-3-21 20:19:00,	803.856,	0x0000,	806.227,	0x0000,	586.973,	0x0000,
	2016-3-21 20:20:00,	807.282,	0x0000,	806.227,	0x0000,	586.722,	0x0000,
	2016-3-21 20:21:00,	805.569,	0x0000,	806.227,	0x0000,	586.285,	0x0000,
	2016-3-21 20:22:00,	805.569,	0x0000,	806.227,	0x0000,	585.945,	0x0000,
	2016-3-21 20:23:00,	806.425,	0x0000,	806.227,	0x0000,	585.711,	0x0000,
	2016-3-21 20:24:00,	807.282,	0x0000,	806.227,	0x0000,	585.604,	0x0000,
	2016-3-21 20:25:00,	807.282,	0x0000,	806.227,	0x0000,	585.496,	0x0000,
	2016-3-21 20:26:00,	806.425,	0x0000,	805.495,	0x0000,	585.389,	0x0000,
	2016-3-21 20:27:00,	804.712,	0x0000,	804.056,	0x0000,	585.389,	0x0000,
	2016-3-21 20:28:00,	802.999,	0x0000,	803.297,	0x0000,	585.496,	0x0000,
	2016-3-21 20:29:00,	802.999,	0x0000,	801.859,	0x0000,	585.597,	0x0000,
	2016-3-21 20:30:00,	800.43,	0x0000,	800.366,	0x0000,	585.705,	0x0000,
	2016-3-21 20:31:00,	800.43,	0x0000,	800.366,	0x0000,	585.597,	0x0000,
	2016-3-21 20:32:00,	800.43,	0x0000,	800.366,	0x0000,	585.49,	0x0000,
	2016-3-21 20:33:00,	799.573,	0x0000,	800.366,	0x0000,	585.274,	0x0000,
	2016-3-21 20:34:00,	800.43,	0x0000,	800.366,	0x0000,	585.059,	0x0000,
	2016-3-21 20:35:00,	799.573,	0x0000,	800.366,	0x0000,	584.952,	0x0000,
	2016-3-21 20:36:00,	800.43,	0x0000,	801.053,	0x0000,	584.844,	0x0000,
	2016-3-21 20:37:00,	802.999,	0x0000,	801.832,	0x0000,	584.844,	0x0000,
	2016-3-21 20:38:00,	802.999,	0x0000,	803.297,	0x0000,	585.095,	0x0000,
	2016-3-21 20:39:00,	806.425,	0x0000,	804.029,	0x0000,	585.203,	0x0000,
	2016-3-21 20:40:00,	805.569,	0x0000,	804.029,	0x0000,	585.31,	0x0000,
	2016-3-21 20:41:00,	806.425,	0x0000,	805.467,	0x0000,	585.411,	0x0000,
	2016-3-21 20:42:00,	807.282,	0x0000,	806.227,	0x0000,	585.519,	0x0000,
	2016-3-21 20:43:00,	808.138,	0x0000,	807.692,	0x0000,	585.734,	0x0000,
	2016-3-21 20:44:00,	809.851,	0x0000,	809.158,	0x0000,	586.057,	0x0000,
	2016-3-21 20:45:00,	812.421,	0x0000,	809.89,	0x0000,	586.164,	0x0000,
	2016-3-21 20:46:00,	812.421,	0x0000,	810.623,	0x0000,	586.505,	0x0000,
	2016-3-21 20:47:00,	811.564,	0x0000,	812.088,	0x0000,	586.631,	0x0000,
	2016-3-21 20:48:00,	813.278,	0x0000,	813.553,	0x0000,	586.846,	0x0000,
	2016-3-21 20:49:00,	814.134,	0x0000,	815.018,	0x0000,	586.953,	0x0000,
	2016-3-21 20:50:00,	817.56,	0x0000,	815.018,	0x0000,	586.953,	0x0000,
	2016-3-21 20:51:00,	816.704,	0x0000,	816.484,	0x0000,	587.061,	0x0000,
	2016-3-21 20:52:00,	818.417,	0x0000,	817.949,	0x0000,	587.276,	0x0000,
	2016-3-21 20:53:00,	820.13,	0x0000,	819.352,	0x0000,	587.509,	0x0000,
	2016-3-21 20:54:00,	820.986,	0x0000,	821.601,	0x0000,	587.724,	0x0000,
	2016-3-21 20:55:00,	821.843,	0x0000,	821.601,	0x0000,	587.958,	0x0000,
	2016-3-21 20:56:00,	824.412,	0x0000,	823.81,	0x0000,	588.166,	0x0000,
	2016-3-21 20:57:00,	824.412,	0x0000,	826.74,	0x0000,	588.274,	0x0000,
	2016-3-21 20:58:00,	828.695,	0x0000,	828.938,	0x0000,	588.381,	0x0000,
	2016-3-21 20:59:00,	832.121,	0x0000,	831.136,	0x0000,	588.614,	0x0000,
	2016-3-21 21:00:00,	832.121,	0x0000,	833.333,	0x0000,	588.722,	0x0000,
	2016-3-21 21:01:00,	837.26,	0x0000,	841.274,	0x0000,	588.973,	0x0000,
	2016-3-21 21:02:00,	849.252,	0x0000,	856.044,	0x0000,	589.368,	0x0000,
	2016-3-21 21:03:00,	865.526,	0x0000,	869.238,	0x0000,	589.834,	0x0000,
	2016-3-21 21:04:00,	879.23,	0x0000,	883.883,	0x0000,	590.067,	0x0000,
	2016-3-21 21:05:00,	891.222,	0x0000,	897.077,	0x0000,	590.175,	0x0000,
	2016-3-21 21:06:00,	901.5,	0x0000,	899.991,	0x0000,	590.282,	0x0000,
	2016-3-21 21:07:00,	910.066,	0x0000,	899.991,	0x0000,	590.749,	0x0000,
	2016-3-21 21:08:00,	910.066,	0x0000,	899.991,	0x0000,	591.376,	0x0000,
	2016-3-21 21:09:00,	901.5,	0x0000,	899.991,	0x0000,	591.825,	0x0000,
	2016-3-21 21:10:00,	900.644,	0x0000,	899.991,	0x0000,	592.65,	0x0000,
	2016-3-21 21:11:00,	900.644,	0x0000,	899.991,	0x0000,	593.368,	0x0000,
	2016-3-21 21:12:00,	900.644,	0x0000,	899.991,	0x0000,	593.935,	0x0000,
	2016-3-21 21:13:00,	900.644,	0x0000,	899.991,	0x0000,	594.617,	0x0000,
	2016-3-21 21:14:00,	898.931,	0x0000,	899.991,	0x0000,	595.281,	0x0000,
	2016-3-21 21:15:00,	900.644,	0x0000,	899.991,	0x0000,	595.765,	0x0000,
	2016-3-21 21:16:00,	899.787,	0x0000,	899.991,	0x0000,	596.017,	0x0000,
	2016-3-21 21:17:00,	898.074,	0x0000,	899.991,	0x0000,	596.232,	0x0000,
	2016-3-21 21:18:00,	901.5,	0x0000,	899.991,	0x0000,	596.34,	0x0000,
	2016-3-21 21:19:00,	899.787,	0x0000,	899.991,	0x0000,	596.232,	0x0000,
	2016-3-21 21:20:00,	899.787,	0x0000,	899.991,	0x0000,	596.016,	0x0000,
	2016-3-21 21:21:00,	899.787,	0x0000,	899.991,	0x0000,	595.801,	0x0000,
	2016-3-21 21:22:00,	899.787,	0x0000,	899.991,	0x0000,	595.424,	0x0000,
	2016-3-21 21:23:00,	898.931,	0x0000,	899.991,	0x0000,	595.065,	0x0000,
	2016-3-21 21:24:00,	900.644,	0x0000,	899.991,	0x0000,	594.958,	0x0000,
	2016-3-21 21:25:00,	900.644,	0x0000,	899.991,	0x0000,	594.725,	0x0000,
	2016-3-21 21:26:00,	899.787,	0x0000,	899.991,	0x0000,	594.509,	0x0000,
	2016-3-21 21:27:00,	900.644,	0x0000,	899.991,	0x0000,	594.509,	0x0000,
	2016-3-21 21:28:00,	899.787,	0x0000,	899.991,	0x0000,	594.725,	0x0000,
	2016-3-21 21:29:00,	899.787,	0x0000,	899.991,	0x0000,	594.958,	0x0000,
	2016-3-21 21:30:00,	899.787,	0x0000,	899.991,	0x0000,	594.958,	0x0000,
	2016-3-21 21:31:00,	900.644,	0x0000,	899.991,	0x0000,	594.958,	0x0000,
	2016-3-21 21:32:00,	900.644,	0x0000,	899.991,	0x0000,	595.166,	0x0000,
	2016-3-21 21:33:00,	900.644,	0x0000,	899.991,	0x0000,	595.274,	0x0000,
	2016-3-21 21:34:00,	898.931,	0x0000,	899.991,	0x0000,	595.274,	0x0000,
	2016-3-21 21:35:00,	902.357,	0x0000,	899.991,	0x0000,	595.274,	0x0000,
	2016-3-21 21:36:00,	900.644,	0x0000,	899.991,	0x0000,	595.382,	0x0000,
	2016-3-21 21:37:00,	900.644,	0x0000,	899.991,	0x0000,	595.274,	0x0000,
	2016-3-21 21:38:00,	899.787,	0x0000,	899.991,	0x0000,	595.023,	0x0000,
	2016-3-21 21:39:00,	898.931,	0x0000,	899.991,	0x0000,	594.7,	0x0000,
	2016-3-21 21:40:00,	899.787,	0x0000,	899.991,	0x0000,	594.269,	0x0000,
	2016-3-21 21:41:00,	900.644,	0x0000,	899.991,	0x0000,	594.144,	0x0000,
	2016-3-21 21:42:00,	899.787,	0x0000,	899.991,	0x0000,	594.036,	0x0000,
	2016-3-21 21:43:00,	902.357,	0x0000,	899.991,	0x0000,	594.162,	0x0000,
	2016-3-21 21:44:00,	899.787,	0x0000,	899.991,	0x0000,	594.287,	0x0000,
	2016-3-21 21:45:00,	901.5,	0x0000,	899.991,	0x0000,	594.503,	0x0000,
	2016-3-21 21:46:00,	901.5,	0x0000,	899.991,	0x0000,	594.718,	0x0000,
	2016-3-21 21:47:00,	900.644,	0x0000,	899.991,	0x0000,	594.933,	0x0000,
	2016-3-21 21:48:00,	900.644,	0x0000,	899.991,	0x0000,	595.041,	0x0000,
	2016-3-21 21:49:00,	900.644,	0x0000,	899.991,	0x0000,	595.041,	0x0000,
	2016-3-21 21:50:00,	899.787,	0x0000,	899.991,	0x0000,	595.148,	0x0000,
	2016-3-21 21:51:00,	900.644,	0x0000,	899.991,	0x0000,	595.148,	0x0000,
	2016-3-21 21:52:00,	901.5,	0x0000,	899.991,	0x0000,	595.148,	0x0000,
	2016-3-21 21:53:00,	901.5,	0x0000,	899.991,	0x0000,	595.256,	0x0000,
	2016-3-21 21:54:00,	899.787,	0x0000,	899.991,	0x0000,	595.256,	0x0000,
	2016-3-21 21:55:00,	903.213,	0x0000,	899.991,	0x0000,	595.364,	0x0000,
	2016-3-21 21:56:00,	901.5,	0x0000,	899.991,	0x0000,	595.579,	0x0000,
	2016-3-21 21:57:00,	902.357,	0x0000,	899.991,	0x0000,	595.812,	0x0000,
	2016-3-21 21:58:00,	898.931,	0x0000,	899.991,	0x0000,	595.92,	0x0000,
	2016-3-21 21:59:00,	903.213,	0x0000,	899.991,	0x0000,	596.028,	0x0000,
	2016-3-21 22:00:00,	898.931,	0x0000,	899.991,	0x0000,	596.261,	0x0000,
	2016-3-21 22:01:00,	902.357,	0x0000,	899.991,	0x0000,	596.261,	0x0000,
	2016-3-21 22:02:00,	900.644,	0x0000,	899.991,	0x0000,	596.261,	0x0000,
	2016-3-21 22:03:00,	899.787,	0x0000,	899.991,	0x0000,	596.153,	0x0000,
	2016-3-21 22:04:00,	900.644,	0x0000,	899.991,	0x0000,	596.153,	0x0000,
	2016-3-21 22:05:00,	900.644,	0x0000,	899.991,	0x0000,	596.153,	0x0000,
	2016-3-21 22:06:00,	901.5,	0x0000,	899.991,	0x0000,	596.153,	0x0000,
	2016-3-21 22:07:00,	901.5,	0x0000,	899.991,	0x0000,	596.254,	0x0000,
	2016-3-21 22:08:00,	900.644,	0x0000,	899.991,	0x0000,	596.254,	0x0000,
	2016-3-21 22:09:00,	901.5,	0x0000,	899.991,	0x0000,	596.362,	0x0000,
	2016-3-21 22:10:00,	899.787,	0x0000,	899.991,	0x0000,	596.47,	0x0000,
	2016-3-21 22:11:00,	900.644,	0x0000,	899.991,	0x0000,	596.47,	0x0000,
	2016-3-21 22:12:00,	903.213,	0x0000,	899.991,	0x0000,	596.47,	0x0000,
	2016-3-21 22:13:00,	902.357,	0x0000,	899.991,	0x0000,	596.577,	0x0000,
	2016-3-21 22:14:00,	899.787,	0x0000,	899.991,	0x0000,	596.685,	0x0000,
	2016-3-21 22:15:00,	901.5,	0x0000,	899.991,	0x0000,	596.9,	0x0000,
	2016-3-21 22:16:00,	899.787,	0x0000,	899.991,	0x0000,	597.008,	0x0000,
	2016-3-21 22:17:00,	900.644,	0x0000,	899.991,	0x0000,	597.008,	0x0000,
	2016-3-21 22:18:00,	900.644,	0x0000,	899.991,	0x0000,	597.008,	0x0000,
	2016-3-21 22:19:00,	902.357,	0x0000,	899.991,	0x0000,	597.008,	0x0000,
	2016-3-21 22:20:00,	900.644,	0x0000,	899.991,	0x0000,	596.9,	0x0000,
	2016-3-21 22:21:00,	900.644,	0x0000,	899.991,	0x0000,	596.9,	0x0000,
	2016-3-21 22:22:00,	898.931,	0x0000,	899.991,	0x0000,	596.9,	0x0000,
	2016-3-21 22:23:00,	900.644,	0x0000,	899.991,	0x0000,	596.793,	0x0000,
	2016-3-21 22:24:00,	900.644,	0x0000,	899.991,	0x0000,	596.685,	0x0000,
	2016-3-21 22:25:00,	902.357,	0x0000,	899.991,	0x0000,	596.793,	0x0000,
	2016-3-21 22:26:00,	901.5,	0x0000,	899.991,	0x0000,	596.894,	0x0000,
	2016-3-21 22:27:00,	900.644,	0x0000,	899.991,	0x0000,	597.001,	0x0000,
	2016-3-21 22:28:00,	900.644,	0x0000,	899.991,	0x0000,	597.001,	0x0000,
	2016-3-21 22:29:00,	900.644,	0x0000,	899.991,	0x0000,	596.876,	0x0000,
	2016-3-21 22:30:00,	900.644,	0x0000,	899.991,	0x0000,	596.876,	0x0000,
	2016-3-21 22:31:00,	898.931,	0x0000,	897.07,	0x0000,	596.983,	0x0000,
