时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-28 18:40:00,	745.611,	0x0000,	742.491,	0x0000,	576.023,	0x0000,
	2016-3-28 18:41:00,	744.755,	0x0000,	739.491,	0x0000,	576.71,	0x0000,
	2016-3-28 18:42:00,	736.19,	0x0000,	738.828,	0x0000,	577.409,	0x0000,
	2016-3-28 18:43:00,	738.759,	0x0000,	738.828,	0x0000,	577.767,	0x0000,
	2016-3-28 18:44:00,	737.903,	0x0000,	738.828,	0x0000,	577.767,	0x0000,
	2016-3-28 18:45:00,	735.333,	0x0000,	730.388,	0x0000,	577.552,	0x0000,
	2016-3-28 18:46:00,	734.477,	0x0000,	735.897,	0x0000,	577.552,	0x0000,
	2016-3-28 18:47:00,	735.333,	0x0000,	732.709,	0x0000,	577.696,	0x0000,
	2016-3-28 18:48:00,	725.055,	0x0000,	721.978,	0x0000,	577.947,	0x0000,
	2016-3-28 18:49:00,	722.485,	0x0000,	721.978,	0x0000,	577.947,	0x0000,
	2016-3-28 18:50:00,	722.485,	0x0000,	721.978,	0x0000,	578.055,	0x0000,
	2016-3-28 18:51:00,	727.624,	0x0000,	732.967,	0x0000,	578.395,	0x0000,
	2016-3-28 18:52:00,	734.477,	0x0000,	732.967,	0x0000,	578.968,	0x0000,
	2016-3-28 18:53:00,	734.477,	0x0000,	736.469,	0x0000,	579.183,	0x0000,
	2016-3-28 18:54:00,	746.468,	0x0000,	747.619,	0x0000,	579.183,	0x0000,
	2016-3-28 18:55:00,	742.185,	0x0000,	732.676,	0x0000,	579.506,	0x0000,
	2016-3-28 18:56:00,	729.337,	0x0000,	730.037,	0x0000,	579.972,	0x0000,
	2016-3-28 18:57:00,	727.624,	0x0000,	730.037,	0x0000,	580.731,	0x0000,
	2016-3-28 18:58:00,	731.05,	0x0000,	739.478,	0x0000,	581.215,	0x0000,
	2016-3-28 18:59:00,	732.763,	0x0000,	725.597,	0x0000,	581.233,	0x0000,
	2016-3-28 19:00:00,	729.337,	0x0000,	734.009,	0x0000,	581.09,	0x0000,
	2016-3-28 19:01:00,	730.194,	0x0000,	728.571,	0x0000,	581.198,	0x0000,
	2016-3-28 19:02:00,	728.481,	0x0000,	728.571,	0x0000,	581.664,	0x0000,
	2016-3-28 19:03:00,	729.337,	0x0000,	728.571,	0x0000,	581.771,	0x0000,
	2016-3-28 19:04:00,	726.768,	0x0000,	726.508,	0x0000,	581.538,	0x0000,
	2016-3-28 19:05:00,	717.346,	0x0000,	715.251,	0x0000,	581.018,	0x0000,
	2016-3-28 19:06:00,	719.915,	0x0000,	717.255,	0x0000,	580.355,	0x0000,
	2016-3-28 19:07:00,	713.063,	0x0000,	715.385,	0x0000,	579.764,	0x0000,
	2016-3-28 19:08:00,	713.92,	0x0000,	720.762,	0x0000,	579.423,	0x0000,
	2016-3-28 19:09:00,	718.202,	0x0000,	714.696,	0x0000,	579.1,	0x0000,
	2016-3-28 19:10:00,	715.633,	0x0000,	721.592,	0x0000,	578.76,	0x0000,
	2016-3-28 19:11:00,	722.485,	0x0000,	716.213,	0x0000,	578.294,	0x0000,
	2016-3-28 19:12:00,	721.628,	0x0000,	724.683,	0x0000,	577.846,	0x0000,
	2016-3-28 19:13:00,	722.485,	0x0000,	720.513,	0x0000,	577.237,	0x0000,
	2016-3-28 19:14:00,	723.342,	0x0000,	728.453,	0x0000,	576.807,	0x0000,
	2016-3-28 19:15:00,	726.768,	0x0000,	720.45,	0x0000,	576.699,	0x0000,
	2016-3-28 19:16:00,	722.485,	0x0000,	724.14,	0x0000,	576.699,	0x0000,
	2016-3-28 19:17:00,	723.342,	0x0000,	721.675,	0x0000,	576.932,	0x0000,
	2016-3-28 19:18:00,	712.207,	0x0000,	709.524,	0x0000,	577.272,	0x0000,
	2016-3-28 19:19:00,	710.494,	0x0000,	709.209,	0x0000,	577.38,	0x0000,
	2016-3-28 19:20:00,	705.354,	0x0000,	706.299,	0x0000,	577.172,	0x0000,
	2016-3-28 19:21:00,	708.781,	0x0000,	706.489,	0x0000,	576.831,	0x0000,
	2016-3-28 19:22:00,	702.785,	0x0000,	704.396,	0x0000,	576.078,	0x0000,
	2016-3-28 19:23:00,	702.785,	0x0000,	704.396,	0x0000,	575.398,	0x0000,
	2016-3-28 19:24:00,	703.641,	0x0000,	704.396,	0x0000,	574.717,	0x0000,
	2016-3-28 19:25:00,	704.498,	0x0000,	704.396,	0x0000,	574.108,	0x0000,
	2016-3-28 19:26:00,	704.498,	0x0000,	704.396,	0x0000,	573.785,	0x0000,
	2016-3-28 19:27:00,	702.785,	0x0000,	704.396,	0x0000,	573.66,	0x0000,
	2016-3-28 19:28:00,	701.072,	0x0000,	695.893,	0x0000,	573.875,	0x0000,
	2016-3-28 19:29:00,	701.072,	0x0000,	699.92,	0x0000,	574.108,	0x0000,
	2016-3-28 19:30:00,	690.793,	0x0000,	686.813,	0x0000,	574.34,	0x0000,
	2016-3-28 19:31:00,	687.367,	0x0000,	693.629,	0x0000,	574.448,	0x0000,
	2016-3-28 19:32:00,	687.367,	0x0000,	686.081,	0x0000,	574.663,	0x0000,
	2016-3-28 19:33:00,	689.937,	0x0000,	697.024,	0x0000,	574.896,	0x0000,
	2016-3-28 19:34:00,	689.08,	0x0000,	686.813,	0x0000,	575.111,	0x0000,
	2016-3-28 19:35:00,	685.654,	0x0000,	686.813,	0x0000,	575.111,	0x0000,
	2016-3-28 19:36:00,	683.941,	0x0000,	686.813,	0x0000,	575.003,	0x0000,
	2016-3-28 19:37:00,	683.085,	0x0000,	679.56,	0x0000,	574.771,	0x0000,
	2016-3-28 19:38:00,	681.372,	0x0000,	683.15,	0x0000,	574.538,	0x0000,
	2016-3-28 19:39:00,	681.372,	0x0000,	677.398,	0x0000,	574.43,	0x0000,
	2016-3-28 19:40:00,	672.806,	0x0000,	673.849,	0x0000,	574.538,	0x0000,
	2016-3-28 19:41:00,	681.372,	0x0000,	686.813,	0x0000,	574.645,	0x0000,
	2016-3-28 19:42:00,	684.798,	0x0000,	676.998,	0x0000,	574.645,	0x0000,
	2016-3-28 19:43:00,	672.806,	0x0000,	678.79,	0x0000,	574.538,	0x0000,
	2016-3-28 19:44:00,	675.376,	0x0000,	672.894,	0x0000,	574.43,	0x0000,
	2016-3-28 19:45:00,	671.95,	0x0000,	674.833,	0x0000,	574.323,	0x0000,
	2016-3-28 19:46:00,	671.95,	0x0000,	670.696,	0x0000,	573.928,	0x0000,
	2016-3-28 19:47:00,	669.38,	0x0000,	670.696,	0x0000,	573.445,	0x0000,
	2016-3-28 19:48:00,	669.38,	0x0000,	670.696,	0x0000,	572.907,	0x0000,
	2016-3-28 19:49:00,	670.237,	0x0000,	670.696,	0x0000,	572.208,	0x0000,
	2016-3-28 19:50:00,	669.38,	0x0000,	676.323,	0x0000,	571.528,	0x0000,
	2016-3-28 19:51:00,	674.519,	0x0000,	671.217,	0x0000,	571.169,	0x0000,
	2016-3-28 19:52:00,	665.954,	0x0000,	663.403,	0x0000,	571.295,	0x0000,
	2016-3-28 19:53:00,	661.671,	0x0000,	663.403,	0x0000,	571.402,	0x0000,
	2016-3-28 19:54:00,	662.528,	0x0000,	663.403,	0x0000,	571.42,	0x0000,
	2016-3-28 19:55:00,	662.528,	0x0000,	663.403,	0x0000,	571.205,	0x0000,
	2016-3-28 19:56:00,	662.528,	0x0000,	663.403,	0x0000,	570.865,	0x0000,
	2016-3-28 19:57:00,	663.384,	0x0000,	663.403,	0x0000,	570.37,	0x0000,
	2016-3-28 19:58:00,	664.241,	0x0000,	662.683,	0x0000,	570.137,	0x0000,
	2016-3-28 19:59:00,	654.819,	0x0000,	649.451,	0x0000,	570.03,	0x0000,
	2016-3-28 20:00:00,	653.962,	0x0000,	660.205,	0x0000,	569.69,	0x0000,
	2016-3-28 20:01:00,	662.528,	0x0000,	662.637,	0x0000,	569.564,	0x0000,
	2016-3-28 20:02:00,	662.528,	0x0000,	656.073,	0x0000,	569.672,	0x0000,
	2016-3-28 20:03:00,	657.389,	0x0000,	660.44,	0x0000,	569.904,	0x0000,
	2016-3-28 20:04:00,	659.958,	0x0000,	652.437,	0x0000,	569.904,	0x0000,
	2016-3-28 20:05:00,	647.967,	0x0000,	651.539,	0x0000,	570.012,	0x0000,
	2016-3-28 20:06:00,	648.823,	0x0000,	646.539,	0x0000,	569.797,	0x0000,
	2016-3-28 20:07:00,	645.397,	0x0000,	650.896,	0x0000,	569.797,	0x0000,
	2016-3-28 20:08:00,	651.393,	0x0000,	648.147,	0x0000,	569.689,	0x0000,
	2016-3-28 20:09:00,	644.541,	0x0000,	647.253,	0x0000,	569.475,	0x0000,
	2016-3-28 20:10:00,	647.967,	0x0000,	647.253,	0x0000,	569.26,	0x0000,
	2016-3-28 20:11:00,	646.254,	0x0000,	647.253,	0x0000,	569.045,	0x0000,
	2016-3-28 20:12:00,	646.254,	0x0000,	647.253,	0x0000,	568.669,	0x0000,
	2016-3-28 20:13:00,	649.68,	0x0000,	652.631,	0x0000,	568.346,	0x0000,
	2016-3-28 20:14:00,	647.11,	0x0000,	645.788,	0x0000,	568.131,	0x0000,
