时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-1 00:00:00,	788.438,	0x0000,	792.44,	0x0000,	591.569,	0x0000,
	2016-3-1 00:01:00,	800.43,	0x0000,	796.818,	0x0000,	591.91,	0x0000,
	2016-3-1 00:02:00,	801.286,	0x0000,	805.571,	0x0000,	592.143,	0x0000,
	2016-3-1 00:03:00,	804.712,	0x0000,	797.192,	0x0000,	592.459,	0x0000,
	2016-3-1 00:04:00,	791.008,	0x0000,	795.818,	0x0000,	592.782,	0x0000,
	2016-3-1 00:05:00,	805.569,	0x0000,	810.824,	0x0000,	592.89,	0x0000,
	2016-3-1 00:06:00,	808.995,	0x0000,	806.855,	0x0000,	593.428,	0x0000,
	2016-3-1 00:07:00,	813.278,	0x0000,	819.414,	0x0000,	593.751,	0x0000,
	2016-3-1 00:08:00,	814.134,	0x0000,	805.348,	0x0000,	594.218,	0x0000,
	2016-3-1 00:09:00,	809.851,	0x0000,	815.292,	0x0000,	594.433,	0x0000,
	2016-3-1 00:10:00,	817.56,	0x0000,	817.544,	0x0000,	594.541,	0x0000,
	2016-3-1 00:11:00,	818.417,	0x0000,	816.021,	0x0000,	594.881,	0x0000,
	2016-3-1 00:12:00,	808.138,	0x0000,	806.96,	0x0000,	595.24,	0x0000,
	2016-3-1 00:13:00,	808.995,	0x0000,	806.96,	0x0000,	595.492,	0x0000,
	2016-3-1 00:14:00,	805.569,	0x0000,	806.96,	0x0000,	595.808,	0x0000,
	2016-3-1 00:15:00,	806.425,	0x0000,	806.96,	0x0000,	595.808,	0x0000,
	2016-3-1 00:16:00,	808.138,	0x0000,	809.961,	0x0000,	595.808,	0x0000,
	2016-3-1 00:17:00,	810.708,	0x0000,	807.692,	0x0000,	595.7,	0x0000,
	2016-3-1 00:18:00,	808.138,	0x0000,	807.692,	0x0000,	595.808,	0x0000,
	2016-3-1 00:19:00,	815.847,	0x0000,	818.635,	0x0000,	595.808,	0x0000,
	2016-3-1 00:20:00,	814.991,	0x0000,	809.176,	0x0000,	595.916,	0x0000,
	2016-3-1 00:21:00,	814.991,	0x0000,	816.349,	0x0000,	595.916,	0x0000,
	2016-3-1 00:22:00,	821.843,	0x0000,	817.785,	0x0000,	595.916,	0x0000,
	2016-3-1 00:23:00,	809.851,	0x0000,	808.425,	0x0000,	595.916,	0x0000,
	2016-3-1 00:24:00,	812.421,	0x0000,	813.928,	0x0000,	595.801,	0x0000,
	2016-3-1 00:25:00,	808.995,	0x0000,	811.489,	0x0000,	595.586,	0x0000,
	2016-3-1 00:26:00,	815.847,	0x0000,	813.303,	0x0000,	595.245,	0x0000,
	2016-3-1 00:27:00,	808.995,	0x0000,	811.802,	0x0000,	594.922,	0x0000,
	2016-3-1 00:28:00,	820.13,	0x0000,	821.612,	0x0000,	594.384,	0x0000,
	2016-3-1 00:29:00,	821.843,	0x0000,	821.612,	0x0000,	594.276,	0x0000,
	2016-3-1 00:30:00,	817.56,	0x0000,	812.17,	0x0000,	594.276,	0x0000,
	2016-3-1 00:31:00,	816.704,	0x0000,	818.681,	0x0000,	594.377,	0x0000,
	2016-3-1 00:32:00,	819.273,	0x0000,	818.681,	0x0000,	594.492,	0x0000,
	2016-3-1 00:33:00,	817.56,	0x0000,	818.681,	0x0000,	594.593,	0x0000,
	2016-3-1 00:34:00,	818.417,	0x0000,	818.681,	0x0000,	594.593,	0x0000,
	2016-3-1 00:35:00,	817.56,	0x0000,	818.681,	0x0000,	594.377,	0x0000,
	2016-3-1 00:36:00,	818.417,	0x0000,	815.617,	0x0000,	594.018,	0x0000,
	2016-3-1 00:37:00,	806.425,	0x0000,	804.029,	0x0000,	593.695,	0x0000,
	2016-3-1 00:38:00,	806.425,	0x0000,	813.345,	0x0000,	592.996,	0x0000,
	2016-3-1 00:39:00,	814.134,	0x0000,	815.751,	0x0000,	592.422,	0x0000,
	2016-3-1 00:40:00,	817.56,	0x0000,	815.751,	0x0000,	591.955,	0x0000,
	2016-3-1 00:41:00,	815.847,	0x0000,	815.751,	0x0000,	591.848,	0x0000,
	2016-3-1 00:42:00,	813.278,	0x0000,	808.684,	0x0000,	591.848,	0x0000,
	2016-3-1 00:43:00,	814.991,	0x0000,	815.314,	0x0000,	592.056,	0x0000,
	2016-3-1 00:44:00,	811.564,	0x0000,	806.96,	0x0000,	592.433,	0x0000,
	2016-3-1 00:45:00,	811.564,	0x0000,	812.463,	0x0000,	592.541,	0x0000,
	2016-3-1 00:46:00,	808.995,	0x0000,	810.3,	0x0000,	592.648,	0x0000,
	2016-3-1 00:47:00,	817.56,	0x0000,	819.368,	0x0000,	592.541,	0x0000,
	2016-3-1 00:48:00,	814.991,	0x0000,	815.751,	0x0000,	592.541,	0x0000,
	2016-3-1 00:49:00,	814.991,	0x0000,	815.751,	0x0000,	592.648,	0x0000,
	2016-3-1 00:50:00,	816.704,	0x0000,	815.751,	0x0000,	592.882,	0x0000,
	2016-3-1 00:51:00,	819.273,	0x0000,	823.879,	0x0000,	593.115,	0x0000,
	2016-3-1 00:52:00,	826.982,	0x0000,	821.88,	0x0000,	593.348,	0x0000,
	2016-3-1 00:53:00,	824.412,	0x0000,	823.81,	0x0000,	593.833,	0x0000,
	2016-3-1 00:54:00,	825.269,	0x0000,	823.81,	0x0000,	594.155,	0x0000,
	2016-3-1 00:55:00,	824.412,	0x0000,	823.81,	0x0000,	594.478,	0x0000,
	2016-3-1 00:56:00,	818.417,	0x0000,	814.554,	0x0000,	594.586,	0x0000,
	2016-3-1 00:57:00,	819.273,	0x0000,	820.147,	0x0000,	594.472,	0x0000,
	2016-3-1 00:58:00,	814.134,	0x0000,	809.829,	0x0000,	594.472,	0x0000,
	2016-3-1 00:59:00,	809.851,	0x0000,	812.821,	0x0000,	594.256,	0x0000,
	2016-3-1 01:00:00,	814.134,	0x0000,	812.821,	0x0000,	594.256,	0x0000,
	2016-3-1 01:01:00,	816.704,	0x0000,	817.7,	0x0000,	594.142,	0x0000,
	2016-3-1 01:02:00,	809.851,	0x0000,	809.946,	0x0000,	594.142,	0x0000,
	2016-3-1 01:03:00,	815.847,	0x0000,	814.137,	0x0000,	594.142,	0x0000,
	2016-3-1 01:04:00,	808.995,	0x0000,	812.887,	0x0000,	594.142,	0x0000,
	2016-3-1 01:05:00,	817.56,	0x0000,	821.612,	0x0000,	593.933,	0x0000,
	2016-3-1 01:06:00,	822.699,	0x0000,	816.171,	0x0000,	593.933,	0x0000,
	2016-3-1 01:07:00,	819.273,	0x0000,	824.486,	0x0000,	594.07,	0x0000,
	2016-3-1 01:08:00,	826.125,	0x0000,	819.184,	0x0000,	594.214,	0x0000,
	2016-3-1 01:09:00,	810.708,	0x0000,	810.742,	0x0000,	594.322,	0x0000,
	2016-3-1 01:10:00,	818.417,	0x0000,	825.275,	0x0000,	593.981,	0x0000,
	2016-3-1 01:11:00,	820.13,	0x0000,	812.145,	0x0000,	593.748,	0x0000,
	2016-3-1 01:12:00,	817.56,	0x0000,	824.424,	0x0000,	593.855,	0x0000,
	2016-3-1 01:13:00,	828.695,	0x0000,	824.625,	0x0000,	593.855,	0x0000,
	2016-3-1 01:14:00,	825.269,	0x0000,	827.473,	0x0000,	594.064,	0x0000,
	2016-3-1 01:15:00,	823.556,	0x0000,	823.223,	0x0000,	593.945,	0x0000,
	2016-3-1 01:16:00,	825.269,	0x0000,	823.586,	0x0000,	593.604,	0x0000,
	2016-3-1 01:17:00,	819.273,	0x0000,	820.147,	0x0000,	593.113,	0x0000,
	2016-3-1 01:18:00,	820.13,	0x0000,	820.147,	0x0000,	592.575,	0x0000,
	2016-3-1 01:19:00,	819.273,	0x0000,	820.147,	0x0000,	592.037,	0x0000,
	2016-3-1 01:20:00,	817.56,	0x0000,	813.644,	0x0000,	591.606,	0x0000,
	2016-3-1 01:21:00,	814.991,	0x0000,	817.216,	0x0000,	591.283,	0x0000,
	2016-3-1 01:22:00,	816.704,	0x0000,	817.216,	0x0000,	591.068,	0x0000,
	2016-3-1 01:23:00,	815.847,	0x0000,	811.526,	0x0000,	591.068,	0x0000,
	2016-3-1 01:24:00,	812.421,	0x0000,	822.277,	0x0000,	590.96,	0x0000,
	2016-3-1 01:25:00,	823.556,	0x0000,	823.077,	0x0000,	590.96,	0x0000,
	2016-3-1 01:26:00,	818.417,	0x0000,	815.018,	0x0000,	590.96,	0x0000,
	2016-3-1 01:27:00,	814.134,	0x0000,	815.018,	0x0000,	591.176,	0x0000,
	2016-3-1 01:28:00,	814.991,	0x0000,	815.018,	0x0000,	591.516,	0x0000,
	2016-3-1 01:29:00,	812.421,	0x0000,	815.018,	0x0000,	591.624,	0x0000,
	2016-3-1 01:30:00,	814.991,	0x0000,	815.018,	0x0000,	591.725,	0x0000,
	2016-3-1 01:31:00,	813.278,	0x0000,	815.018,	0x0000,	591.725,	0x0000,
	2016-3-1 01:32:00,	809.851,	0x0000,	804.577,	0x0000,	591.725,	0x0000,
	2016-3-1 01:33:00,	809.851,	0x0000,	811.355,	0x0000,	591.725,	0x0000,
	2016-3-1 01:34:00,	813.278,	0x0000,	811.355,	0x0000,	591.833,	0x0000,
