时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-13 12:00:00,	791.864,	0x0000,	794.505,	0x0000,	588.665,	0x0000,
	2016-3-13 12:01:00,	799.573,	0x0000,	797.506,	0x0000,	588.558,	0x0000,
	2016-3-13 12:02:00,	806.425,	0x0000,	808.425,	0x0000,	589.114,	0x0000,
	2016-3-13 12:03:00,	810.708,	0x0000,	811.489,	0x0000,	590.172,	0x0000,
	2016-3-13 12:04:00,	819.273,	0x0000,	812.177,	0x0000,	590.961,	0x0000,
	2016-3-13 12:05:00,	812.421,	0x0000,	816.116,	0x0000,	591.391,	0x0000,
	2016-3-13 12:06:00,	820.986,	0x0000,	817.949,	0x0000,	591.535,	0x0000,
	2016-3-13 12:07:00,	818.417,	0x0000,	822.387,	0x0000,	591.427,	0x0000,
	2016-3-13 12:08:00,	824.412,	0x0000,	820.147,	0x0000,	591.302,	0x0000,
	2016-3-13 12:09:00,	826.125,	0x0000,	828.464,	0x0000,	591.176,	0x0000,
	2016-3-13 12:10:00,	824.412,	0x0000,	822.344,	0x0000,	591.069,	0x0000,
	2016-3-13 12:11:00,	824.412,	0x0000,	830.534,	0x0000,	590.925,	0x0000,
	2016-3-13 12:12:00,	826.982,	0x0000,	825.23,	0x0000,	590.584,	0x0000,
	2016-3-13 12:13:00,	834.691,	0x0000,	838.462,	0x0000,	590.351,	0x0000,
	2016-3-13 12:14:00,	836.404,	0x0000,	831.334,	0x0000,	590.351,	0x0000,
	2016-3-13 12:15:00,	838.973,	0x0000,	845.528,	0x0000,	590.483,	0x0000,
	2016-3-13 12:16:00,	842.4,	0x0000,	836.623,	0x0000,	590.369,	0x0000,
	2016-3-13 12:17:00,	828.695,	0x0000,	828.938,	0x0000,	590.261,	0x0000,
	2016-3-13 12:18:00,	820.13,	0x0000,	824.624,	0x0000,	589.927,	0x0000,
	2016-3-13 12:19:00,	821.843,	0x0000,	818.681,	0x0000,	589.318,	0x0000,
	2016-3-13 12:20:00,	816.704,	0x0000,	824.184,	0x0000,	588.995,	0x0000,
	2016-3-13 12:21:00,	814.991,	0x0000,	818.752,	0x0000,	588.618,	0x0000,
	2016-3-13 12:22:00,	824.412,	0x0000,	828.938,	0x0000,	588.295,	0x0000,
	2016-3-13 12:23:00,	832.978,	0x0000,	828.938,	0x0000,	588.636,	0x0000,
	2016-3-13 12:24:00,	837.26,	0x0000,	841.74,	0x0000,	589.479,	0x0000,
	2016-3-13 12:25:00,	845.826,	0x0000,	839.204,	0x0000,	590.663,	0x0000,
	2016-3-13 12:26:00,	843.256,	0x0000,	847.386,	0x0000,	591.488,	0x0000,
	2016-3-13 12:27:00,	852.678,	0x0000,	847.262,	0x0000,	591.847,	0x0000,
	2016-3-13 12:28:00,	847.539,	0x0000,	851.754,	0x0000,	592.062,	0x0000,
	2016-3-13 12:29:00,	856.961,	0x0000,	853.005,	0x0000,	591.954,	0x0000,
	2016-3-13 12:30:00,	844.113,	0x0000,	844.251,	0x0000,	591.739,	0x0000,
	2016-3-13 12:31:00,	847.539,	0x0000,	850.916,	0x0000,	591.524,	0x0000,
	2016-3-13 12:32:00,	850.965,	0x0000,	848.718,	0x0000,	591.416,	0x0000,
	2016-3-13 12:33:00,	850.965,	0x0000,	854.579,	0x0000,	591.416,	0x0000,
	2016-3-13 12:34:00,	854.391,	0x0000,	854.579,	0x0000,	591.416,	0x0000,
	2016-3-13 12:35:00,	855.247,	0x0000,	855.392,	0x0000,	591.53,	0x0000,
	2016-3-13 12:36:00,	862.1,	0x0000,	860.02,	0x0000,	591.853,	0x0000,
	2016-3-13 12:37:00,	861.243,	0x0000,	863.637,	0x0000,	592.391,	0x0000,
	2016-3-13 12:38:00,	874.091,	0x0000,	869.49,	0x0000,	592.732,	0x0000,
	2016-3-13 12:39:00,	862.1,	0x0000,	856.777,	0x0000,	593.163,	0x0000,
	2016-3-13 12:40:00,	860.387,	0x0000,	869.343,	0x0000,	593.27,	0x0000,
	2016-3-13 12:41:00,	874.948,	0x0000,	870.813,	0x0000,	593.378,	0x0000,
	2016-3-13 12:42:00,	873.235,	0x0000,	872.894,	0x0000,	593.827,	0x0000,
	2016-3-13 12:43:00,	869.809,	0x0000,	862.076,	0x0000,	594.042,	0x0000,
	2016-3-13 12:44:00,	857.817,	0x0000,	864.209,	0x0000,	594.149,	0x0000,
	2016-3-13 12:45:00,	863.813,	0x0000,	862.637,	0x0000,	593.916,	0x0000,
	2016-3-13 12:46:00,	862.1,	0x0000,	862.637,	0x0000,	593.809,	0x0000,
	2016-3-13 12:47:00,	862.956,	0x0000,	862.637,	0x0000,	593.593,	0x0000,
	2016-3-13 12:48:00,	861.243,	0x0000,	865.639,	0x0000,	593.45,	0x0000,
	2016-3-13 12:49:00,	866.382,	0x0000,	862.637,	0x0000,	593.223,	0x0000,
	2016-3-13 12:50:00,	864.669,	0x0000,	866.765,	0x0000,	593.223,	0x0000,
	2016-3-13 12:51:00,	870.665,	0x0000,	864.835,	0x0000,	593.438,	0x0000,
	2016-3-13 12:52:00,	864.669,	0x0000,	864.835,	0x0000,	593.887,	0x0000,
	2016-3-13 12:53:00,	864.669,	0x0000,	864.835,	0x0000,	593.995,	0x0000,
	2016-3-13 12:54:00,	864.669,	0x0000,	870.275,	0x0000,	593.995,	0x0000,
