时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-9 08:00:00,	810.708,	0x0000,	807.692,	0x0000,	602.737,	0x0000,
	2016-3-9 08:01:00,	804.712,	0x0000,	801.252,	0x0000,	602.18,	0x0000,
	2016-3-9 08:02:00,	792.721,	0x0000,	786.248,	0x0000,	601.617,	0x0000,
	2016-3-9 08:03:00,	785.868,	0x0000,	785.714,	0x0000,	600.953,	0x0000,
	2016-3-9 08:04:00,	783.299,	0x0000,	785.714,	0x0000,	600.504,	0x0000,
	2016-3-9 08:05:00,	782.442,	0x0000,	785.714,	0x0000,	599.965,	0x0000,
	2016-3-9 08:06:00,	784.155,	0x0000,	785.714,	0x0000,	599.535,	0x0000,
	2016-3-9 08:07:00,	779.873,	0x0000,	779.277,	0x0000,	599.212,	0x0000,
	2016-3-9 08:08:00,	779.873,	0x0000,	779.854,	0x0000,	599.097,	0x0000,
	2016-3-9 08:09:00,	780.729,	0x0000,	779.854,	0x0000,	599.097,	0x0000,
	2016-3-9 08:10:00,	781.586,	0x0000,	785.294,	0x0000,	598.99,	0x0000,
	2016-3-9 08:11:00,	779.016,	0x0000,	779.854,	0x0000,	598.875,	0x0000,
	2016-3-9 08:12:00,	780.729,	0x0000,	779.854,	0x0000,	598.75,	0x0000,
	2016-3-9 08:13:00,	779.873,	0x0000,	779.854,	0x0000,	598.75,	0x0000,
	2016-3-9 08:14:00,	778.16,	0x0000,	779.854,	0x0000,	598.851,	0x0000,
	2016-3-9 08:15:00,	779.016,	0x0000,	779.854,	0x0000,	598.851,	0x0000,
	2016-3-9 08:16:00,	778.16,	0x0000,	779.854,	0x0000,	598.629,	0x0000,
	2016-3-9 08:17:00,	774.734,	0x0000,	769.348,	0x0000,	598.414,	0x0000,
	2016-3-9 08:18:00,	767.025,	0x0000,	771.927,	0x0000,	597.983,	0x0000,
	2016-3-9 08:19:00,	781.586,	0x0000,	782.051,	0x0000,	597.301,	0x0000,
	2016-3-9 08:20:00,	779.873,	0x0000,	781.319,	0x0000,	597.086,	0x0000,
	2016-3-9 08:21:00,	782.442,	0x0000,	781.319,	0x0000,	596.96,	0x0000,
	2016-3-9 08:22:00,	781.586,	0x0000,	781.319,	0x0000,	597.175,	0x0000,
	2016-3-9 08:23:00,	780.729,	0x0000,	781.319,	0x0000,	597.391,	0x0000,
	2016-3-9 08:24:00,	775.59,	0x0000,	770.125,	0x0000,	597.492,	0x0000,
	2016-3-9 08:25:00,	770.451,	0x0000,	778.066,	0x0000,	597.492,	0x0000,
	2016-3-9 08:26:00,	790.151,	0x0000,	781.507,	0x0000,	597.276,	0x0000,
	2016-3-9 08:27:00,	775.59,	0x0000,	766.814,	0x0000,	597.402,	0x0000,
	2016-3-9 08:28:00,	761.029,	0x0000,	756.447,	0x0000,	597.402,	0x0000,
	2016-3-9 08:29:00,	757.603,	0x0000,	759.719,	0x0000,	597.51,	0x0000,
	2016-3-9 08:30:00,	774.734,	0x0000,	767.857,	0x0000,	597.51,	0x0000,
	2016-3-9 08:31:00,	781.586,	0x0000,	778.07,	0x0000,	597.617,	0x0000,
	2016-3-9 08:32:00,	788.438,	0x0000,	787.346,	0x0000,	597.503,	0x0000,
	2016-3-9 08:33:00,	785.868,	0x0000,	779.591,	0x0000,	597.503,	0x0000,
	2016-3-9 08:34:00,	778.16,	0x0000,	777.346,	0x0000,	597.97,	0x0000,
	2016-3-9 08:35:00,	784.155,	0x0000,	782.308,	0x0000,	598.185,	0x0000,
	2016-3-9 08:36:00,	785.012,	0x0000,	782.308,	0x0000,	598.286,	0x0000,
	2016-3-9 08:37:00,	784.155,	0x0000,	782.308,	0x0000,	597.963,	0x0000,
	2016-3-9 08:38:00,	781.586,	0x0000,	782.308,	0x0000,	597.292,	0x0000,
	2016-3-9 08:39:00,	782.442,	0x0000,	782.308,	0x0000,	596.593,	0x0000,
	2016-3-9 08:40:00,	780.729,	0x0000,	782.308,	0x0000,	596.036,	0x0000,
	2016-3-9 08:41:00,	780.729,	0x0000,	782.308,	0x0000,	595.606,	0x0000,
	2016-3-9 08:42:00,	780.729,	0x0000,	782.308,	0x0000,	595.013,	0x0000,
	2016-3-9 08:43:00,	782.442,	0x0000,	782.308,	0x0000,	594.35,	0x0000,
	2016-3-9 08:44:00,	780.729,	0x0000,	782.308,	0x0000,	594.027,	0x0000,
	2016-3-9 08:45:00,	784.155,	0x0000,	782.308,	0x0000,	594.027,	0x0000,
	2016-3-9 08:46:00,	782.442,	0x0000,	782.308,	0x0000,	594.027,	0x0000,
	2016-3-9 08:47:00,	784.155,	0x0000,	782.308,	0x0000,	593.679,	0x0000,
	2016-3-9 08:48:00,	782.442,	0x0000,	782.308,	0x0000,	593.356,	0x0000,
	2016-3-9 08:49:00,	784.155,	0x0000,	782.308,	0x0000,	593.027,	0x0000,
