时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-14 21:20:00,	993.149,	0x0000,	994.899,	0x0000,	593.955,	0x0000,
	2016-3-14 21:21:00,	994.006,	0x0000,	994.899,	0x0000,	593.812,	0x0000,
	2016-3-14 21:22:00,	994.006,	0x0000,	994.899,	0x0000,	593.596,	0x0000,
	2016-3-14 21:23:00,	993.149,	0x0000,	994.899,	0x0000,	593.273,	0x0000,
	2016-3-14 21:24:00,	992.293,	0x0000,	994.899,	0x0000,	593.166,	0x0000,
	2016-3-14 21:25:00,	994.862,	0x0000,	994.899,	0x0000,	593.273,	0x0000,
	2016-3-14 21:26:00,	995.719,	0x0000,	994.899,	0x0000,	593.273,	0x0000,
	2016-3-14 21:27:00,	993.149,	0x0000,	994.899,	0x0000,	593.273,	0x0000,
	2016-3-14 21:28:00,	994.006,	0x0000,	994.899,	0x0000,	593.166,	0x0000,
	2016-3-14 21:29:00,	996.575,	0x0000,	994.003,	0x0000,	593.273,	0x0000,
	2016-3-14 21:30:00,	997.432,	0x0000,	994.899,	0x0000,	593.381,	0x0000,
	2016-3-14 21:31:00,	997.432,	0x0000,	994.899,	0x0000,	593.255,	0x0000,
	2016-3-14 21:32:00,	996.575,	0x0000,	994.899,	0x0000,	593.255,	0x0000,
	2016-3-14 21:33:00,	995.719,	0x0000,	994.899,	0x0000,	593.489,	0x0000,
	2016-3-14 21:34:00,	995.719,	0x0000,	994.899,	0x0000,	593.489,	0x0000,
	2016-3-14 21:35:00,	995.719,	0x0000,	994.899,	0x0000,	593.489,	0x0000,
	2016-3-14 21:36:00,	995.719,	0x0000,	994.899,	0x0000,	593.489,	0x0000,
	2016-3-14 21:37:00,	995.719,	0x0000,	994.899,	0x0000,	593.381,	0x0000,
	2016-3-14 21:38:00,	997.432,	0x0000,	994.899,	0x0000,	593.381,	0x0000,
	2016-3-14 21:39:00,	995.719,	0x0000,	994.899,	0x0000,	593.704,	0x0000,
	2016-3-14 21:40:00,	993.149,	0x0000,	994.899,	0x0000,	593.829,	0x0000,
	2016-3-14 21:41:00,	995.719,	0x0000,	994.899,	0x0000,	594.045,	0x0000,
	2016-3-14 21:42:00,	998.288,	0x0000,	994.899,	0x0000,	594.26,	0x0000,
	2016-3-14 21:43:00,	994.862,	0x0000,	994.899,	0x0000,	594.619,	0x0000,
	2016-3-14 21:44:00,	995.719,	0x0000,	994.899,	0x0000,	594.87,	0x0000,
	2016-3-14 21:45:00,	994.862,	0x0000,	994.899,	0x0000,	595.319,	0x0000,
	2016-3-14 21:46:00,	994.862,	0x0000,	994.899,	0x0000,	595.426,	0x0000,
	2016-3-14 21:47:00,	993.149,	0x0000,	994.899,	0x0000,	595.426,	0x0000,
	2016-3-14 21:48:00,	994.862,	0x0000,	994.899,	0x0000,	595.312,	0x0000,
	2016-3-14 21:49:00,	994.006,	0x0000,	994.899,	0x0000,	595.312,	0x0000,
	2016-3-14 21:50:00,	995.719,	0x0000,	994.899,	0x0000,	595.426,	0x0000,
	2016-3-14 21:51:00,	996.575,	0x0000,	994.899,	0x0000,	595.312,	0x0000,
	2016-3-14 21:52:00,	996.575,	0x0000,	994.899,	0x0000,	595.312,	0x0000,
	2016-3-14 21:53:00,	994.006,	0x0000,	994.899,	0x0000,	595.42,	0x0000,
	2016-3-14 21:54:00,	993.149,	0x0000,	994.899,	0x0000,	595.527,	0x0000,
	2016-3-14 21:55:00,	994.862,	0x0000,	994.899,	0x0000,	595.527,	0x0000,
	2016-3-14 21:56:00,	994.006,	0x0000,	994.795,	0x0000,	595.527,	0x0000,
	2016-3-14 21:57:00,	991.436,	0x0000,	993.212,	0x0000,	595.635,	0x0000,
	2016-3-14 21:58:00,	992.293,	0x0000,	994.941,	0x0000,	595.743,	0x0000,
	2016-3-14 21:59:00,	991.436,	0x0000,	992.545,	0x0000,	595.743,	0x0000,
	2016-3-14 22:00:00,	993.149,	0x0000,	994.941,	0x0000,	595.743,	0x0000,
	2016-3-14 22:01:00,	,	,	994.941,	0x0000,	595.85,	0x0000,
	2016-3-14 22:02:00,	995.719,	0x0000,	992.628,	0x0000,	595.958,	0x0000,
	2016-3-14 22:03:00,	990.58,	0x0000,	994.92,	0x0000,	596.066,	0x0000,
	2016-3-14 22:04:00,	993.149,	0x0000,	994.92,	0x0000,	596.066,	0x0000,
	2016-3-14 22:05:00,	989.723,	0x0000,	994.857,	0x0000,	596.066,	0x0000,
	2016-3-14 22:06:00,	992.293,	0x0000,	994.378,	0x0000,	595.844,	0x0000,
	2016-3-14 22:07:00,	991.436,	0x0000,	994.462,	0x0000,	595.395,	0x0000,
	2016-3-14 22:08:00,	992.293,	0x0000,	994.941,	0x0000,	594.821,	0x0000,
	2016-3-14 22:09:00,	992.293,	0x0000,	994.941,	0x0000,	594.498,	0x0000,
	2016-3-14 22:10:00,	990.58,	0x0000,	994.941,	0x0000,	594.289,	0x0000,
	2016-3-14 22:11:00,	992.293,	0x0000,	994.941,	0x0000,	594.068,	0x0000,
	2016-3-14 22:12:00,	994.006,	0x0000,	993.464,	0x0000,	594.182,	0x0000,
	2016-3-14 22:13:00,	995.719,	0x0000,	988.464,	0x0000,	594.182,	0x0000,
	2016-3-14 22:14:00,	994.006,	0x0000,	983.463,	0x0000,	594.068,	0x0000,
	2016-3-14 22:15:00,	985.44,	0x0000,	978.461,	0x0000,	593.673,	0x0000,
	2016-3-14 22:16:00,	976.875,	0x0000,	973.46,	0x0000,	593.565,	0x0000,
	2016-3-14 22:17:00,	970.023,	0x0000,	968.876,	0x0000,	593.35,	0x0000,
	2016-3-14 22:18:00,	967.453,	0x0000,	966.156,	0x0000,	593.242,	0x0000,
	2016-3-14 22:19:00,	964.027,	0x0000,	962.302,	0x0000,	593.135,	0x0000,
	2016-3-14 22:20:00,	961.458,	0x0000,	959.375,	0x0000,	593.135,	0x0000,
	2016-3-14 22:21:00,	960.601,	0x0000,	957.59,	0x0000,	593.135,	0x0000,
	2016-3-14 22:22:00,	956.318,	0x0000,	956.444,	0x0000,	592.919,	0x0000,
	2016-3-14 22:23:00,	952.892,	0x0000,	952.785,	0x0000,	592.704,	0x0000,
	2016-3-14 22:24:00,	953.749,	0x0000,	953.48,	0x0000,	592.489,	0x0000,
	2016-3-14 22:25:00,	955.462,	0x0000,	951.146,	0x0000,	592.489,	0x0000,
	2016-3-14 22:26:00,	949.466,	0x0000,	951.729,	0x0000,	592.381,	0x0000,
	2016-3-14 22:27:00,	951.179,	0x0000,	949.562,	0x0000,	592.273,	0x0000,
	2016-3-14 22:28:00,	946.897,	0x0000,	949.084,	0x0000,	592.489,	0x0000,
	2016-3-14 22:29:00,	949.466,	0x0000,	946.64,	0x0000,	592.489,	0x0000,
	2016-3-14 22:30:00,	944.327,	0x0000,	945.181,	0x0000,	592.381,	0x0000,
	2016-3-14 22:31:00,	946.04,	0x0000,	946.119,	0x0000,	592.381,	0x0000,
	2016-3-14 22:32:00,	942.614,	0x0000,	942.278,	0x0000,	592.273,	0x0000,
	2016-3-14 22:33:00,	944.327,	0x0000,	945.405,	0x0000,	592.166,	0x0000,
	2016-3-14 22:34:00,	945.183,	0x0000,	942.42,	0x0000,	592.166,	0x0000,
	2016-3-14 22:35:00,	936.618,	0x0000,	938.725,	0x0000,	592.04,	0x0000,
	2016-3-14 22:36:00,	943.47,	0x0000,	944.689,	0x0000,	591.681,	0x0000,
	2016-3-14 22:37:00,	943.47,	0x0000,	944.689,	0x0000,	591.574,	0x0000,
	2016-3-14 22:38:00,	945.183,	0x0000,	944.689,	0x0000,	591.574,	0x0000,
	2016-3-14 22:39:00,	944.327,	0x0000,	944.689,	0x0000,	591.574,	0x0000,
	2016-3-14 22:40:00,	941.757,	0x0000,	941.026,	0x0000,	591.681,	0x0000,
	2016-3-14 22:41:00,	940.044,	0x0000,	941.026,	0x0000,	591.681,	0x0000,
	2016-3-14 22:42:00,	940.044,	0x0000,	941.026,	0x0000,	591.789,	0x0000,
	2016-3-14 22:43:00,	939.188,	0x0000,	937.363,	0x0000,	591.789,	0x0000,
	2016-3-14 22:44:00,	935.762,	0x0000,	937.363,	0x0000,	591.556,	0x0000,
	2016-3-14 22:45:00,	937.475,	0x0000,	937.363,	0x0000,	591.448,	0x0000,
	2016-3-14 22:46:00,	937.475,	0x0000,	937.363,	0x0000,	591.448,	0x0000,
	2016-3-14 22:47:00,	937.475,	0x0000,	937.363,	0x0000,	591.549,	0x0000,
	2016-3-14 22:48:00,	934.905,	0x0000,	937.363,	0x0000,	591.664,	0x0000,
	2016-3-14 22:49:00,	938.331,	0x0000,	937.363,	0x0000,	591.664,	0x0000,
	2016-3-14 22:50:00,	937.475,	0x0000,	937.363,	0x0000,	591.771,	0x0000,
	2016-3-14 22:51:00,	938.331,	0x0000,	934.432,	0x0000,	591.879,	0x0000,
	2016-3-14 22:52:00,	934.049,	0x0000,	934.432,	0x0000,	591.986,	0x0000,
	2016-3-14 22:53:00,	934.905,	0x0000,	934.432,	0x0000,	592.202,	0x0000,
	2016-3-14 22:54:00,	932.335,	0x0000,	933.994,	0x0000,	592.202,	0x0000,
	2016-3-14 22:55:00,	932.335,	0x0000,	931.502,	0x0000,	592.202,	0x0000,
	2016-3-14 22:56:00,	932.335,	0x0000,	931.502,	0x0000,	592.202,	0x0000,
	2016-3-14 22:57:00,	933.192,	0x0000,	931.502,	0x0000,	592.202,	0x0000,
	2016-3-14 22:58:00,	930.622,	0x0000,	931.502,	0x0000,	592.309,	0x0000,
	2016-3-14 22:59:00,	928.909,	0x0000,	927.839,	0x0000,	592.309,	0x0000,
	2016-3-14 23:00:00,	928.909,	0x0000,	927.839,	0x0000,	592.417,	0x0000,
	2016-3-14 23:01:00,	925.483,	0x0000,	924.908,	0x0000,	592.543,	0x0000,
	2016-3-14 23:02:00,	916.061,	0x0000,	912.903,	0x0000,	592.543,	0x0000,
	2016-3-14 23:03:00,	919.487,	0x0000,	921.245,	0x0000,	592.428,	0x0000,
	2016-3-14 23:04:00,	922.914,	0x0000,	920.012,	0x0000,	592.435,	0x0000,
	2016-3-14 23:05:00,	918.631,	0x0000,	918.315,	0x0000,	592.751,	0x0000,
	2016-3-14 23:06:00,	916.918,	0x0000,	918.315,	0x0000,	592.973,	0x0000,
	2016-3-14 23:07:00,	916.061,	0x0000,	914.688,	0x0000,	592.973,	0x0000,
	2016-3-14 23:08:00,	915.205,	0x0000,	914.688,	0x0000,	592.973,	0x0000,
	2016-3-14 23:09:00,	913.492,	0x0000,	911.722,	0x0000,	592.751,	0x0000,
	2016-3-14 23:10:00,	911.779,	0x0000,	911.722,	0x0000,	592.41,	0x0000,
	2016-3-14 23:11:00,	909.209,	0x0000,	908.791,	0x0000,	592.07,	0x0000,
	2016-3-14 23:12:00,	909.209,	0x0000,	908.791,	0x0000,	591.836,	0x0000,
	2016-3-14 23:13:00,	908.353,	0x0000,	908.416,	0x0000,	591.836,	0x0000,
	2016-3-14 23:14:00,	906.64,	0x0000,	905.128,	0x0000,	591.836,	0x0000,
	2016-3-14 23:15:00,	905.783,	0x0000,	905.128,	0x0000,	591.836,	0x0000,
	2016-3-14 23:16:00,	904.926,	0x0000,	901.815,	0x0000,	591.944,	0x0000,
	2016-3-14 23:17:00,	898.931,	0x0000,	900.733,	0x0000,	591.711,	0x0000,
	2016-3-14 23:18:00,	898.931,	0x0000,	900.733,	0x0000,	591.603,	0x0000,
	2016-3-14 23:19:00,	898.931,	0x0000,	897.802,	0x0000,	591.495,	0x0000,
