时间,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,
	2016-3-31 13:20:00,	53.9377,	0x0000,	4.05983,	0x0000,	29.884,	0x0000,	16.453,	0x0000,	-0.457875,	0x0200,	1.00733,	0x0000,	-0.457875,	0x0200,	0.641025,	0x0000,
	2016-3-31 13:21:00,	55.9524,	0x0000,	4.05983,	0x0000,	30.3724,	0x0000,	16.7582,	0x0000,	-0.457875,	0x0200,	0.946277,	0x0000,	-0.457875,	0x0200,	0.641025,	0x0000,
	2016-3-31 13:22:00,	56.1355,	0x0000,	4.12088,	0x0000,	31.2882,	0x0000,	15.7204,	0x0000,	-0.457875,	0x0200,	0.946277,	0x0000,	-0.457875,	0x0200,	0.641025,	0x0000,
	2016-3-31 13:23:00,	56.685,	0x0000,	4.12088,	0x0000,	30.6166,	0x0000,	13.1563,	0x0000,	-0.457875,	0x0200,	0.946277,	0x0000,	-0.457875,	0x0200,	0.702076,	0x0000,
	2016-3-31 13:24:00,	58.5775,	0x0000,	4.12088,	0x0000,	30.0672,	0x0000,	13.4005,	0x0000,	-0.457875,	0x0200,	0.946277,	0x0000,	-0.457875,	0x0200,	0.702076,	0x0000,
	2016-3-31 13:25:00,	56.3797,	0x0000,	4.12088,	0x0000,	30.3724,	0x0000,	10.1648,	0x0000,	-0.457875,	0x0200,	0.946277,	0x0000,	-0.457875,	0x0200,	0.702076,	0x0000,
	2016-3-31 13:26:00,	54.0598,	0x0000,	4.12088,	0x0000,	27.5031,	0x0000,	6.44078,	0x0000,	-0.457875,	0x0200,	0.885227,	0x0000,	-0.457875,	0x0200,	0.702076,	0x0000,
	2016-3-31 13:27:00,	52.2894,	0x0000,	4.12088,	0x0000,	24.8779,	0x0000,	2.28938,	0x0000,	-0.457875,	0x0200,	0.946277,	0x0000,	-0.396824,	0x0200,	0.763126,	0x0000,
	2016-3-31 13:28:00,	46.4896,	0x0000,	4.12088,	0x0000,	24.3895,	0x0000,	-0.274725,	0x0200,	-0.457875,	0x0200,	0.885227,	0x0000,	-0.396824,	0x0200,	0.763126,	0x0000,
	2016-3-31 13:29:00,	41.0562,	0x0000,	4.12088,	0x0000,	22.558,	0x0000,	-0.274725,	0x0200,	-0.457875,	0x0200,	0.885227,	0x0000,	-0.396824,	0x0200,	0.824176,	0x0000,
