时间,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,
	2016-3-20 10:40:00,	0.885227,	0x0000,	33.6691,	0x0000,	46.7949,	0x0000,	-0.824176,	0x1200,	-2.35043,	0x1300,	0.885227,	0x0000,	50.9463,	0x0000,	0.885227,	0x0000,
	2016-3-20 10:41:00,	0.885227,	0x0000,	36.7216,	0x0000,	46.3675,	0x0000,	-0.824176,	0x1200,	-2.35043,	0x1300,	0.885227,	0x0000,	50.9463,	0x0000,	3.14408,	0x0000,
	2016-3-20 10:42:00,	0.885227,	0x0000,	39.591,	0x0000,	48.3211,	0x0000,	-0.946275,	0x1200,	-2.35043,	0x1300,	0.885227,	0x0000,	50.9463,	0x0000,	0.763126,	0x0000,
	2016-3-20 10:43:00,	0.885227,	0x0000,	44.2308,	0x0000,	50.3968,	0x0000,	-0.824176,	0x1200,	-2.28938,	0x1300,	0.946277,	0x0000,	76.221,	0x0000,	0.885227,	0x0000,
	2016-3-20 10:44:00,	0.885227,	0x0000,	40.5678,	0x0000,	48.8706,	0x0000,	-0.763125,	0x1200,	-2.28938,	0x1300,	0.946277,	0x0000,	74.8779,	0x0000,	0.885227,	0x0000,
	2016-3-20 10:45:00,	0.885227,	0x0000,	38.431,	0x0000,	46.4896,	0x0000,	-0.763125,	0x1200,	-2.28938,	0x1300,	0.946277,	0x0000,	75.0611,	0x0000,	0.885227,	0x0000,
	2016-3-20 10:46:00,	0.885227,	0x0000,	34.4017,	0x0000,	45.696,	0x0000,	-0.763125,	0x1200,	-2.28938,	0x1300,	0.946277,	0x0000,	75.1832,	0x0000,	0.763126,	0x0000,
	2016-3-20 10:47:00,	0.885227,	0x0000,	39.1636,	0x0000,	47.5275,	0x0000,	-0.763125,	0x1200,	-2.28938,	0x1300,	0.946277,	0x0000,	75.1832,	0x0000,	0.763126,	0x0000,
	2016-3-20 10:48:00,	0.885227,	0x0000,	36.2943,	0x0000,	46.1233,	0x0000,	-0.763125,	0x1200,	-2.22833,	0x1300,	0.946277,	0x0000,	75.1221,	0x0000,	0.763126,	0x0000,
	2016-3-20 10:49:00,	0.885227,	0x0000,	31.9597,	0x0000,	45.6349,	0x0000,	-0.702075,	0x1200,	-2.22833,	0x1300,	1.00733,	0x0000,	75.1221,	0x0000,	0.763126,	0x0000,
