时间,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,
	2016-3-21 20:00:00,	0.885227,	0x0000,	9.12698,	0x0000,	0.763126,	0x0000,	-1.00733,	0x1200,	-2.28938,	0x1300,	1.12943,	0x0000,	20.5433,	0x0000,	13.0952,	0x0000,
	2016-3-21 20:01:00,	0.885227,	0x0000,	2.83883,	0x0000,	0.702076,	0x0000,	-1.00733,	0x1200,	-2.28938,	0x1300,	1.00733,	0x0000,	20.5433,	0x0000,	13.0952,	0x0000,
	2016-3-21 20:02:00,	0.885227,	0x0000,	2.83883,	0x0000,	0.702076,	0x0000,	-1.00733,	0x1200,	-2.28938,	0x1300,	1.00733,	0x0000,	20.5433,	0x0000,	13.0952,	0x0000,
	2016-3-21 20:03:00,	0.885227,	0x0000,	2.83883,	0x0000,	0.702076,	0x0000,	-1.00733,	0x1200,	-2.28938,	0x1300,	1.00733,	0x0000,	20.5433,	0x0000,	13.0342,	0x0000,
	2016-3-21 20:04:00,	0.885227,	0x0000,	2.83883,	0x0000,	0.702076,	0x0000,	-1.12943,	0x1200,	-2.28938,	0x1300,	1.00733,	0x0000,	20.5433,	0x0000,	13.0342,	0x0000,
	2016-3-21 20:05:00,	0.885227,	0x0000,	2.83883,	0x0000,	0.702076,	0x0000,	-1.00733,	0x1200,	-2.28938,	0x1300,	1.00733,	0x0000,	20.5433,	0x0000,	13.0342,	0x0000,
	2016-3-21 20:06:00,	0.885227,	0x0000,	2.77778,	0x0000,	0.702076,	0x0000,	-1.06838,	0x1200,	-2.28938,	0x1300,	1.00733,	0x0000,	20.5433,	0x0000,	13.0342,	0x0000,
	2016-3-21 20:07:00,	0.824176,	0x0000,	2.77778,	0x0000,	0.702076,	0x0000,	-1.06838,	0x1200,	-2.28938,	0x1300,	0.946277,	0x0000,	20.5433,	0x0000,	13.0342,	0x0000,
	2016-3-21 20:08:00,	0.824176,	0x0000,	2.77778,	0x0000,	0.702076,	0x0000,	-1.06838,	0x1200,	-2.28938,	0x1300,	0.946277,	0x0000,	20.5433,	0x0000,	13.0342,	0x0000,
	2016-3-21 20:09:00,	0.824176,	0x0000,	3.69353,	0x0000,	0.641025,	0x0000,	-1.06838,	0x1200,	-2.28938,	0x1300,	0.946277,	0x0000,	20.5433,	0x0000,	13.0342,	0x0000,
