时间,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,
	2016-3-5 04:00:00,	31.044,	0x0000,	2.59463,	0x0000,	-0.641026,	0x0200,	97.4664,	0x0000,	19.0171,	0x0000,	44.9023,	0x0000,	21.5201,	0x0000,	42.3382,	0x0000,
	2016-3-5 04:01:00,	32.4481,	0x0000,	2.65568,	0x0000,	-0.579976,	0x0200,	99.2369,	0x0000,	20.6044,	0x0000,	45.9402,	0x0000,	23.1685,	0x0000,	42.8877,	0x0000,
	2016-3-5 04:02:00,	32.6313,	0x0000,	2.59463,	0x0000,	-0.641026,	0x0200,	99.8474,	0x0000,	21.2759,	0x0000,	44.9634,	0x0000,	23.9011,	0x0000,	43.1319,	0x0000,
	2016-3-5 04:03:00,	31.9597,	0x0000,	2.53358,	0x0000,	-0.641026,	0x0200,	99.7863,	0x0000,	21.398,	0x0000,	45.3907,	0x0000,	23.9622,	0x0000,	43.1319,	0x0000,
	2016-3-5 04:04:00,	35.5006,	0x0000,	2.53358,	0x0000,	-0.641026,	0x0200,	100.214,	0x0200,	23.4127,	0x0000,	46.6117,	0x0000,	25.9768,	0x0000,	44.1087,	0x0000,
	2016-3-5 04:05:00,	33.7302,	0x0000,	2.59463,	0x0000,	-0.641026,	0x0200,	100.092,	0x0200,	23.7179,	0x0000,	45.757,	0x0000,	26.2821,	0x0000,	43.3761,	0x0000,
	2016-3-5 04:06:00,	32.0208,	0x0000,	2.53358,	0x0000,	-0.641026,	0x0200,	99.2369,	0x0000,	21.9475,	0x0000,	45.0244,	0x0000,	24.2064,	0x0000,	42.5824,	0x0000,
	2016-3-5 04:07:00,	28.9683,	0x0000,	2.59463,	0x0000,	-0.641026,	0x0200,	98.138,	0x0000,	20.7875,	0x0000,	43.9866,	0x0000,	23.2906,	0x0000,	41.6667,	0x0000,
	2016-3-5 04:08:00,	27.0757,	0x0000,	2.53358,	0x0000,	-0.641026,	0x0200,	96.1844,	0x0000,	20.6654,	0x0000,	43.5592,	0x0000,	23.5958,	0x0000,	41.0562,	0x0000,
	2016-3-5 04:09:00,	23.1685,	0x0000,	2.59463,	0x0000,	-0.641026,	0x0200,	95.2686,	0x0000,	20.4823,	0x0000,	44.2918,	0x0000,	22.8022,	0x0000,	41.7888,	0x0000,
