startDate,endDate,MWStd,MW,MSP,THRTEMP,YRHRPRS,RRHRPRS,YRHRTEMPT,RRHRTEMPT,MWD2,HHA11,HHA31,HHA51,HHA71,HHA81,HNA01A,HNA01B,HNA02A,HNA02B,LAE11,LAE12,LAE13,LAE14,LAE21,LAE22,LAE23,LAE24,TOTALCOAL,TAF,O2,FWFLOW,A09M210SHH
2016-03-05 18:03:00,2016-03-05 18:58:00,5.372714374474147,774.2134821428572,25.387016071428572,597.2826785714285,8.408879999999998,2.4030799999999997,591.6690178571428,592.902982142857,774.3982500000001,85,85,85,85,85,100,100,100,100,2.5358,2.9282,6.1039,70.9418,1.8473,31.7989,13.4648,32.3609,295.7181,2964.5655,3.4979,1973.2122,2771.4472
2016-03-05 20:58:00,2016-03-05 21:48:00,22.449006087743996,838.0664705882355,27.23596862745098,600.3249411764705,8.386529999999999,2.2184100000000004,596.5800784313725,600.3050784313725,838.2673529411765,85,85,85,85,85,100,100,100,100,45.3782,12.9803,38.3383,92.4753,17.5956,59.8183,29.3322,59.5567,320.5841,3074.4894,3.2811,2100.2667,2759.2567
2016-03-05 21:50:00,2016-03-06 02:14:00,21.443496617960225,804.2726075471699,26.521543396226413,598.6720301886792,8.715775433962262,2.2317251698113205,593.2798679245284,594.6063547169812,804.0334943396227,85,85,85,85,85,100,100,76,76,17.7952,8.0799,28.9038,80.3015,22.1015,56.9781,32.7065,56.9875,305.0737,2981.4018,3.5704,2045.2908,2828.6575
2016-03-06 02:46:00,2016-03-06 02:56:00,1.4773682262838532,767.4918181818182,25.20812727272727,598.6649090909091,8.14103,2.3221899999999995,591.255,590.8568181818181,767.6787272727273,85,85,85,85,85,100,100,84,84,1.0517,2.2505,27.5086,67.2633,30.5445,48.9538,41.3253,48.729,269.209,2564.6032,3.3534,1774.4891,2599.7227
2016-03-06 05:13:00,2016-03-06 05:25:00,3.0720629616328865,770.911923076923,25.030530769230772,597.551076923077,8.14103,2.3221899999999995,590.7147692307692,591.5876923076924,770.3923846153846,85,85,85,85,85,100,100,92,92,0.8101,2.2565,22.9689,62.7407,44.4961,76.0402,54.5928,76.9794,276.3062,2596.6585,3.2796,1795.0577,2644.6192
2016-03-06 08:16:00,2016-03-06 08:22:00,3.0665633493391233,770.9402857142858,25.513685714285714,601.3014285714286,8.05861,2.3160899999999995,592.6104285714284,591.0237142857143,770.3547142857143,85,85,85,85,85,100,100,70,70,0.7413,12.7943,31.1225,78.2575,66.7059,84.3668,76.0291,84.8422,247.8927,2284.1057,2.7081,1645.6621,2463.5571
2016-03-06 10:22:00,2016-03-06 10:51:00,5.3579860861044475,774.7906333333335,25.543333333333333,601.7978666666666,8.058609999999996,2.3160900000000004,593.4766666666667,594.9044333333333,774.6085333333334,85,85,85,85,85,90,90,80,80,30.2574,3.5022,32.152,94.9899,46.1101,75.0132,56.4489,76.0084,282.1015,2692.496,3.3716,1869.8583,2774.8788
2016-03-06 16:05:00,2016-03-06 16:58:00,7.4907747683153305,784.8533333333334,25.907607407407408,603.2239629629629,7.7586999999999975,2.218410000000001,596.7688148148148,597.7902777777779,784.5827037037037,90,90,90,90,90,100,100,75,75,14.8713,14.4366,27.8304,92.5304,74.0882,99.133,82.9643,98.0821,292.134,2785.6394,3.2969,1898.412,2829.5741
2016-03-06 21:03:00,2016-03-06 22:32:00,21.1550989740325,810.5175666666668,26.718094444444443,604.4320444444444,8.47399888888889,2.1451500000000006,597.7601222222223,599.0461444444444,810.307211111111,90,90,90,90,90,100,100,100,100,44.2094,34.3081,33.6104,89.6761,84.1629,99.5411,91.6601,99.4055,298.0246,2952.4946,3.2939,1963.7338,2867.1656
2016-03-07 00:32:00,2016-03-07 00:43:00,4.332479204284243,771.7356666666666,25.265583333333336,602.0450833333334,7.58471,2.1451500000000006,593.3855833333333,593.2539166666667,771.1835000000001,85,85,85,85,85,72,72,100,100,8.2596,3.9097,21.1131,90.7281,52.6964,91.0641,66.9032,92.0077,261.05,2581.7696,2.8771,1760.6925,2652.9796
