date,MWValue,MWState,SELMWValue,SELMWState,MSP,MSPState,MSPS,MSPSState,THRTEMP,THRTEMPState
2016-3-1 00:00:00, 788.438,0x0000, 788.438,0x0000, 25.8974,0x0000, 25.8852,0x0000, 601.196,0x0000
2016-3-1 00:01:00, 800.43, 0x0000, 800.43, 0x0000, 25.8974,0x0000, 25.9411,0x0000, 601.196,0x0000
2016-3-1 00:02:00, 801.286,0x0000, 801.286,0x0000, 26.0195,0x0000, 26.1056,0x0000, 601.196,0x0000
2016-3-1 00:03:00, 804.712,0x0000, 804.712,0x0000, 26.1538,0x0000, 26.3807,0x0000, 600.873,0x0000
2016-3-1 00:04:00, 791.008,0x0000, 791.008,0x0000, 26.398, 0x0000, 26.4317,0x0000, 600.55, 0x0000
2016-3-1 00:05:00, 805.569,0x0000, 805.569,0x0000, 26.5201,0x0000, 26.2677,0x0000, 599.94, 0x0000
2016-3-1 00:06:00, 808.995,0x0000, 808.995,0x0000, 26.4591,0x0000, 26.4937,0x0000, 599.626,0x0000
2016-3-1 00:07:00, 813.278,0x0000, 813.278,0x0000, 26.398, 0x0000, 26.4414,0x0000, 599.626,0x0000
2016-3-1 00:08:00, 814.134,0x0000, 814.134,0x0000, 26.4591,0x0000, 26.7211,0x0000, 599.311,0x0000
2016-3-1 00:09:00, 809.851,0x0000, 809.851,0x0000, 26.7643,0x0000, 26.7203,0x0000, 599.311,0x0000
2016-3-1 00:10:00, 817.56, 0x0000, 817.56, 0x0000, 26.7033,0x0000, 26.7763,0x0000, 599.311,0x0000
2016-3-1 00:11:00, 818.417,0x0000, 818.417,0x0000, 26.6422,0x0000, 26.7763,0x0000, 599.311,0x0000
2016-3-1 00:12:00, 808.138,0x0000, 808.138,0x0000, 26.8864,0x0000, 26.9365,0x0000, 599.942,0x0000
2016-3-1 00:13:00, 808.995,0x0000, 808.995,0x0000, 27.0085,0x0000, 26.832, 0x0000, 600.256,0x0000
2016-3-1 00:14:00, 805.569,0x0000, 805.569,0x0000, 27.0085,0x0000, 26.7765,0x0000, 600.876,0x0000
2016-3-1 00:15:00, 806.425,0x0000, 806.425,0x0000, 26.8864,0x0000, 26.6706,0x0000, 600.876,0x0000
2016-3-1 00:16:00, 808.138,0x0000, 808.138,0x0000, 26.8864,0x0000, 26.6718,0x0000, 600.876,0x0000
2016-3-1 00:17:00, 810.708,0x0000, 810.708,0x0000, 26.8254,0x0000, 26.733, 0x0000, 600.571,0x0000
2016-3-1 00:18:00, 808.138,0x0000, 808.138,0x0000, 26.8864,0x0000, 26.6805,0x0000, 600.571,0x0000
2016-3-1 00:19:00, 815.847,0x0000, 815.847,0x0000, 26.8864,0x0000, 26.5795,0x0000, 600.266,0x0000
2016-3-1 00:20:00, 814.991,0x0000, 814.991,0x0000, 26.9475,0x0000, 26.8073,0x0000, 599.961,0x0000
2016-3-1 00:21:00, 814.991,0x0000, 814.991,0x0000, 27.0085,0x0000, 26.7479,0x0000, 599.961,0x0000
2016-3-1 00:22:00, 821.843,0x0000, 821.843,0x0000, 27.0085,0x0000, 26.8046,0x0000, 599.961,0x0000
2016-3-1 00:23:00, 809.851,0x0000, 809.851,0x0000, 27.1917,0x0000, 26.9694,0x0000, 599.655,0x0000
2016-3-1 00:24:00, 812.421,0x0000, 812.421,0x0000, 27.1917,0x0000, 26.8141,0x0000, 599.353,0x0000
2016-3-1 00:25:00, 808.995,0x0000, 808.995,0x0000, 27.1917,0x0000, 26.871, 0x0000, 598.725,0x0000
2016-3-1 00:26:00, 815.847,0x0000, 815.847,0x0000, 27.0085,0x0000, 26.7023,0x0000, 598.088,0x0000
2016-3-1 00:27:00, 808.995,0x0000, 808.995,0x0000, 26.9475,0x0000, 26.8626,0x0000, 597.155,0x0000
2016-3-1 00:28:00, 820.13, 0x0000, 820.13, 0x0000, 26.8864,0x0000, 26.6985,0x0000, 596.526,0x0000
2016-3-1 00:29:00, 821.843,0x0000, 821.843,0x0000, 26.8864,0x0000, 26.751, 0x0000, 596.212,0x0000
2016-3-1 00:30:00, 817.56, 0x0000, 817.56, 0x0000, 27.0085,0x0000, 27.0243,0x0000, 596.212,0x0000
2016-3-1 00:31:00, 816.704,0x0000, 816.704,0x0000, 27.0696,0x0000, 26.8586,0x0000, 596.831,0x0000
2016-3-1 00:32:00, 819.273,0x0000, 819.273,0x0000, 27.0085,0x0000, 26.8586,0x0000, 597.47, 0x0000
2016-3-1 00:33:00, 817.56, 0x0000, 817.56, 0x0000, 26.9475,0x0000, 26.8586,0x0000, 598.107,0x0000
2016-3-1 00:34:00, 818.417,0x0000, 818.417,0x0000, 26.8254,0x0000, 26.8586,0x0000, 598.412,0x0000
2016-3-1 00:35:00, 817.56, 0x0000, 817.56, 0x0000, 26.7643,0x0000, 26.8586,0x0000, 598.412,0x0000
2016-3-1 00:36:00, 818.417,0x0000, 817.56, 0x0000, 26.7643,0x0000, 26.8586,0x0000, 598.088,0x0000
2016-3-1 00:37:00, 806.425,0x0000, 806.425,0x0000, 26.7643,0x0000, 27.0241,0x0000, 597.433,0x0000
2016-3-1 00:38:00, 806.425,0x0000, 806.425,0x0000, 26.7033,0x0000, 26.8107,0x0000, 597.119,0x0000
2016-3-1 00:39:00, 814.134,0x0000, 814.134,0x0000, 26.5201,0x0000, 26.6512,0x0000, 596.509,0x0000
2016-3-1 00:40:00, 817.56, 0x0000, 817.56, 0x0000, 26.4591,0x0000, 26.6512,0x0000, 595.899,0x0000
2016-3-1 00:41:00, 815.847,0x0000, 815.847,0x0000, 26.4591,0x0000, 26.7015,0x0000, 595.899,0x0000
2016-3-1 00:42:00, 813.278,0x0000, 813.278,0x0000, 26.4591,0x0000, 26.9187,0x0000, 596.203,0x0000
2016-3-1 00:43:00, 814.991,0x0000, 814.991,0x0000, 26.4591,0x0000, 26.8094,0x0000, 597.181,0x0000
2016-3-1 00:44:00, 811.564,0x0000, 811.564,0x0000, 26.5812,0x0000, 26.9168,0x0000, 598.746,0x0000
2016-3-1 00:45:00, 811.564,0x0000, 811.564,0x0000, 26.6422,0x0000, 26.7122,0x0000, 600.038,0x0000
2016-3-1 00:46:00, 808.995,0x0000, 808.995,0x0000, 26.5812,0x0000, 26.8236,0x0000, 600.648,0x0000
