date,MWValue,MWState,SELMWValue,SELMWState
2016-2-20 10:00:00,718.202,0x0000, 718.202,0x0000,
2016-2-20 10:05:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:10:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:15:00,719.059,0x0000, 719.059,0x0000,
2016-2-20 10:20:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:25:00,722.485,0x0000, 722.485,0x0000,
2016-2-20 10:30:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:35:00,719.059,0x0000, 719.059,0x0000,
2016-2-20 10:40:00,720.772,0x0000, 720.772,0x0000,
2016-2-20 10:45:00,720.772,0x0000, 720.772,0x0000,
2016-2-20 10:50:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:55:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 11:00:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 11:05:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 11:10:00,720.772,0x0000, 720.772,0x0000,
2016-2-20 11:15:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 11:20:00,700.215,0x0000, 700.215,0x0000,
2016-2-20 11:25:00,696.789,0x0000, 696.789,0x0000,
2016-2-20 11:30:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 11:35:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 11:40:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 11:45:00,692.506,0x0000, 692.506,0x0000,
2016-2-20 11:50:00,688.224,0x0000, 688.224,0x0000,
2016-2-20 11:55:00,691.65, 0x0000, 691.65, 0x0000,
2016-2-20 12:00:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 12:05:00,691.65, 0x0000, 691.65, 0x0000,
2016-2-20 12:10:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:15:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:20:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:25:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 12:30:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 12:35:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:40:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 12:45:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:50:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:55:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 13:00:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 13:05:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 13:10:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 13:15:00,687.367,0x0000, 687.367,0x0000,
2016-2-20 13:20:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 13:25:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 13:30:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 13:35:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 13:40:00,687.367,0x0000, 687.367,0x0000,
2016-2-20 13:45:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 13:50:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 13:55:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 14:00:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 14:05:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 14:10:00,688.224,0x0000, 688.224,0x0000,
2016-2-20 14:15:00,688.224,0x0000, 688.224,0x0000,
2016-2-20 14:20:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 14:25:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 14:30:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 14:35:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 14:40:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 14:45:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 14:50:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 14:55:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 15:00:00,688.224,0x0000, 688.224,0x0000,
2016-2-20 15:05:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 15:10:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 15:15:00,691.65, 0x0000, 691.65, 0x0000,
2016-2-20 15:20:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 15:25:00,703.641,0x0000, 703.641,0x0000,
2016-2-20 15:30:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 15:35:00,711.35, 0x0000, 711.35, 0x0000,
2016-2-20 15:40:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 15:45:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 15:50:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 15:55:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 16:00:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 16:05:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 16:10:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 16:15:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 16:20:00,708.781,0x0000, 708.781,0x0000,
2016-2-20 16:25:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 16:30:00,708.781,0x0000, 708.781,0x0000,
2016-2-20 16:35:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 16:40:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 16:45:00,708.781,0x0000, 708.781,0x0000,
2016-2-20 16:50:00,707.924,0x0000, 707.924,0x0000,
2016-2-20 16:55:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 17:00:00,707.067,0x0000, 707.067,0x0000,
2016-2-20 17:05:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 17:10:00,708.781,0x0000, 708.781,0x0000,
2016-2-20 17:15:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 17:20:00,711.35, 0x0000, 711.35, 0x0000,
2016-2-20 17:25:00,711.35, 0x0000, 711.35, 0x0000,
2016-2-20 17:30:00,711.35, 0x0000, 711.35, 0x0000,
2016-2-20 17:35:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 17:40:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 17:45:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 17:50:00,709.637,0x0000, 709.637,0x0000,
2016-2-20 17:55:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 18:00:00,707.924,0x0000, 707.924,0x0000,
2016-2-20 18:05:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 18:10:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 18:15:00,713.063,0x0000, 713.063,0x0000,
2016-2-20 18:20:00,753.32, 0x0000, 753.32, 0x0000,
2016-2-20 18:25:00,774.734,0x0000, 774.734,0x0000,
2016-2-20 18:30:00,778.16, 0x0000, 778.16, 0x0000,
2016-2-20 18:35:00,781.586,0x0000, 781.586,0x0000,
2016-2-20 18:40:00,784.155,0x0000, 784.155,0x0000,
2016-2-20 18:45:00,787.581,0x0000, 787.581,0x0000,
2016-2-20 18:50:00,790.151,0x0000, 790.151,0x0000,
2016-2-20 18:55:00,782.442,0x0000, 782.442,0x0000,
2016-2-20 19:00:00,790.151,0x0000, 790.151,0x0000,
2016-2-20 19:05:00,788.438,0x0000, 788.438,0x0000,
2016-2-20 19:10:00,780.729,0x0000, 780.729,0x0000,
2016-2-20 19:15:00,784.155,0x0000, 784.155,0x0000,
2016-2-20 19:20:00,778.16, 0x0000, 778.16, 0x0000,
2016-2-20 19:25:00,795.29, 0x0000, 795.29, 0x0000,
2016-2-20 19:30:00,791.864,0x0000, 791.864,0x0000,
2016-2-20 19:35:00,787.581,0x0000, 787.581,0x0000,
2016-2-20 19:40:00,794.434,0x0000, 794.434,0x0000,
2016-2-20 19:45:00,817.56, 0x0000, 817.56, 0x0000,
2016-2-20 19:50:00,808.995,0x0000, 808.995,0x0000,
2016-2-20 19:55:00,814.134,0x0000, 814.134,0x0000,
2016-2-20 20:00:00,809.851,0x0000, 809.851,0x0000,
2016-2-20 20:05:00,814.134,0x0000, 814.134,0x0000,
2016-2-20 20:10:00,804.712,0x0000, 804.712,0x0000,
2016-2-20 20:15:00,805.569,0x0000, 805.569,0x0000,
2016-2-20 20:20:00,811.564,0x0000, 811.564,0x0000,
2016-2-20 20:25:00,817.56, 0x0000, 817.56, 0x0000,
2016-2-20 20:30:00,808.138,0x0000, 810.708,0x0000,
2016-2-20 20:35:00,796.147,0x0000, 796.147,0x0000,
2016-2-20 20:40:00,794.434,0x0000, 794.434,0x0000,
2016-2-20 20:45:00,807.282,0x0000, 807.282,0x0000,
2016-2-20 20:50:00,806.425,0x0000, 806.425,0x0000,
2016-2-20 20:55:00,801.286,0x0000, 801.286,0x0000,
2016-2-20 21:00:00,800.43, 0x0000, 800.43, 0x0000,
2016-2-20 21:05:00,826.125,0x0000, 826.125,0x0000,
2016-2-20 21:10:00,830.408,0x0000, 830.408,0x0000,
2016-2-20 21:15:00,830.408,0x0000, 830.408,0x0000,
2016-2-20 21:20:00,837.26, 0x0000, 837.26, 0x0000,
2016-2-20 21:25:00,836.404,0x0000, 836.404,0x0000,
2016-2-20 21:30:00,837.26, 0x0000, 837.26, 0x0000,
2016-2-20 21:35:00,828.695,0x0000, 828.695,0x0000,
2016-2-20 21:40:00,827.839,0x0000, 827.839,0x0000,
2016-2-20 21:45:00,821.843,0x0000, 821.843,0x0000,
2016-2-20 21:50:00,820.13, 0x0000, 820.13, 0x0000,
2016-2-20 21:55:00,839.83, 0x0000, 839.83, 0x0000,
2016-2-20 22:00:00,825.269,0x0000, 825.269,0x0000,
2016-2-20 22:05:00,821.843,0x0000, 821.843,0x0000,
2016-2-20 22:10:00,802.143,0x0000, 802.143,0x0000,
2016-2-20 22:15:00,791.864,0x0000, 791.864,0x0000,
2016-2-20 22:20:00,790.151,0x0000, 790.151,0x0000,
2016-2-20 22:25:00,791.008,0x0000, 791.008,0x0000,
2016-2-20 22:30:00,758.459,0x0000, 758.459,0x0000,
2016-2-20 22:35:00,759.316,0x0000, 759.316,0x0000,
2016-2-20 22:40:00,749.894,0x0000, 749.894,0x0000,
2016-2-20 22:45:00,744.755,0x0000, 744.755,0x0000,
2016-2-20 22:50:00,744.755,0x0000, 744.755,0x0000,
2016-2-20 22:55:00,736.19, 0x0000, 736.19, 0x0000,
2016-2-20 23:00:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 23:05:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 23:10:00,707.924,0x0000, 707.924,0x0000,
2016-2-20 23:15:00,702.785,0x0000, 702.785,0x0000,
2016-2-20 23:20:00,703.641,0x0000, 703.641,0x0000,
2016-2-20 23:25:00,693.363,0x0000, 693.363,0x0000,
2016-2-20 23:30:00,696.789,0x0000, 696.789,0x0000,
2016-2-20 23:35:00,705.354,0x0000, 705.354,0x0000,
2016-2-20 23:40:00,699.359,0x0000, 699.359,0x0000,
2016-2-20 23:45:00,685.654,0x0000, 685.654,0x0000,
2016-2-20 23:50:00,681.372,0x0000, 681.372,0x0000,
2016-2-20 23:55:00,674.519,0x0000, 674.519,0x0000,
2016-2-21 00:00:00,681.372,0x0000, 681.372,0x0000,
2016-2-21 00:05:00,695.933,0x0000, 695.933,0x0000,
2016-2-21 00:10:00,706.211,0x0000, 706.211,0x0000,
2016-2-21 00:15:00,701.072,0x0000, 701.072,0x0000,
2016-2-21 00:20:00,701.928,0x0000, 701.928,0x0000,
2016-2-21 00:25:00,713.92, 0x0000, 713.92, 0x0000,
2016-2-21 00:30:00,701.072,0x0000, 701.072,0x0000,
2016-2-21 00:35:00,696.789,0x0000, 696.789,0x0000,
2016-2-21 00:40:00,698.502,0x0000, 698.502,0x0000,
2016-2-21 00:45:00,703.641,0x0000, 703.641,0x0000,
2016-2-21 00:50:00,690.793,0x0000, 690.793,0x0000,
2016-2-21 00:55:00,701.072,0x0000, 701.072,0x0000,
2016-2-21 01:00:00,700.215,0x0000, 700.215,0x0000,
2016-2-21 01:05:00,692.506,0x0000, 692.506,0x0000,
2016-2-21 01:10:00,699.359,0x0000, 699.359,0x0000,
2016-2-21 01:15:00,701.072,0x0000, 701.072,0x0000,
2016-2-21 01:20:00,696.789,0x0000, 696.789,0x0000,
2016-2-21 01:25:00,697.646,0x0000, 697.646,0x0000,
2016-2-21 01:30:00,701.072,0x0000, 701.072,0x0000,
2016-2-21 01:35:00,701.928,0x0000, 701.928,0x0000,
2016-2-21 01:40:00,696.789,0x0000, 696.789,0x0000,
2016-2-21 01:45:00,695.933,0x0000, 695.933,0x0000,
2016-2-21 01:50:00,694.219,0x0000, 694.219,0x0000,
2016-2-21 01:55:00,693.363,0x0000, 693.363,0x0000,
2016-2-21 02:00:00,695.933,0x0000, 695.933,0x0000,
2016-2-21 02:05:00,684.798,0x0000, 684.798,0x0000,
2016-2-21 02:10:00,684.798,0x0000, 684.798,0x0000,
2016-2-21 02:15:00,689.937,0x0000, 689.937,0x0000,
2016-2-21 02:20:00,678.802,0x0000, 678.802,0x0000,
2016-2-21 02:25:00,678.802,0x0000, 678.802,0x0000,
2016-2-21 02:30:00,664.241,0x0000, 664.241,0x0000,
2016-2-21 02:35:00,672.806,0x0000, 672.806,0x0000,
2016-2-21 02:40:00,669.38, 0x0000, 669.38, 0x0000,
2016-2-21 02:45:00,668.523,0x0000, 668.523,0x0000,
2016-2-21 02:50:00,665.954,0x0000, 665.954,0x0000,
2016-2-21 02:55:00,663.384,0x0000, 663.384,0x0000,
2016-2-21 03:00:00,652.249,0x0000, 652.249,0x0000,
2016-2-21 03:05:00,656.532,0x0000, 656.532,0x0000,
2016-2-21 03:10:00,663.384,0x0000, 663.384,0x0000,
2016-2-21 03:15:00,660.815,0x0000, 660.815,0x0000,
2016-2-21 03:20:00,646.254,0x0000, 646.254,0x0000,
2016-2-21 03:25:00,647.11, 0x0000, 647.11, 0x0000,
2016-2-21 03:30:00,656.532,0x0000, 656.532,0x0000,
2016-2-21 03:35:00,634.262,0x0000, 634.262,0x0000,
2016-2-21 03:40:00,647.967,0x0000, 647.967,0x0000,
2016-2-21 03:45:00,646.254,0x0000, 646.254,0x0000,
