date,MWValue,MWState,SELMWValue,SELMWState,MSP,MSPState,MSPS,MSPSState,THRTEMP,THRTEMPState
2016-3-1 03:30:00, 770.451,0x0000, 770.451,0x0000, 25.7875,0x0000, 25.7378,0x0000, 598.386,0x0000
2016-3-1 03:35:00, 775.59, 0x0000, 775.59, 0x0000, 25.3602,0x0000, 25.6434,0x0000, 596.816,0x0000
2016-3-1 03:40:00, 775.59, 0x0000, 775.59, 0x0000, 25.5433,0x0000, 25.8468,0x0000, 600.63, 0x0000
2016-3-1 03:45:00, 769.594,0x0000, 769.594,0x0000, 25.4701,0x0000, 25.7742,0x0000, 599.643,0x0000
2016-3-1 03:50:00, 773.02, 0x0000, 773.02, 0x0000, 25.2259,0x0000, 25.6281,0x0000, 595.149,0x0000
2016-3-1 03:55:00, 781.586,0x0000, 781.586,0x0000, 25.5311,0x0000, 25.4083,0x0000, 601.585,0x0000
2016-3-1 04:00:00, 773.877,0x0000, 773.877,0x0000, 26.0195,0x0000, 25.5626,0x0000, 602.868,0x0000
2016-3-1 04:05:00, 771.307,0x0000, 771.307,0x0000, 25.9585,0x0000, 25.4551,0x0000, 600.704,0x0000
2016-3-1 04:10:00, 772.164,0x0000, 772.164,0x0000, 25.5922,0x0000, 25.4551,0x0000, 597.942,0x0000
2016-3-1 04:15:00, 777.303,0x0000, 777.303,0x0000, 25.348, 0x0000, 25.2824,0x0000, 598.248,0x0000
2016-3-1 04:20:00, 761.885,0x0000, 761.885,0x0000, 25.5311,0x0000, 25.7018,0x0000, 599.19, 0x0000
2016-3-1 04:25:00, 773.877,0x0000, 773.877,0x0000, 24.9206,0x0000, 25.342, 0x0000, 594.417,0x0000
2016-3-1 04:30:00, 777.303,0x0000, 777.303,0x0000, 25.348, 0x0000, 25.7811,0x0000, 600.501,0x0000
2016-3-1 04:35:00, 780.729,0x0000, 780.729,0x0000, 25.348, 0x0000, 25.6513,0x0000, 600.198,0x0000
2016-3-1 04:40:00, 771.307,0x0000, 771.307,0x0000, 25.5311,0x0000, 25.812, 0x0000, 600.503,0x0000
2016-3-1 04:45:00, 772.164,0x0000, 772.164,0x0000, 25.5311,0x0000, 25.7315,0x0000, 601.454,0x0000
2016-3-1 04:50:00, 780.729,0x0000, 780.729,0x0000, 25.4701,0x0000, 25.5176,0x0000, 602.424,0x0000
2016-3-1 04:55:00, 766.168,0x0000, 766.168,0x0000, 25.7143,0x0000, 25.2999,0x0000, 603.043,0x0000
2016-3-1 05:00:00, 765.312,0x0000, 765.312,0x0000, 25.7143,0x0000, 25.4524,0x0000, 600.523,0x0000
2016-3-1 05:05:00, 790.151,0x0000, 790.151,0x0000, 25.8364,0x0000, 25.6524,0x0000, 599.59, 0x0000
2016-3-1 05:10:00, 787.581,0x0000, 787.581,0x0000, 25.9585,0x0000, 26.0399,0x0000, 597.382,0x0000
2016-3-1 05:15:00, 788.438,0x0000, 788.438,0x0000, 25.409, 0x0000, 25.7665,0x0000, 594.879,0x0000
2016-3-1 05:20:00, 791.864,0x0000, 791.864,0x0000, 25.5922,0x0000, 26.1042,0x0000, 599.323,0x0000
2016-3-1 05:25:00, 789.295,0x0000, 789.295,0x0000, 25.7753,0x0000, 26.3279,0x0000, 599.314,0x0000
2016-3-1 05:30:00, 799.573,0x0000, 799.573,0x0000, 25.7753,0x0000, 26.1062,0x0000, 600.265,0x0000
2016-3-1 05:35:00, 816.704,0x0000, 816.704,0x0000, 26.7521,0x0000, 26.6848,0x0000, 603.407,0x0000
2016-3-1 05:40:00, 817.56, 0x0000, 817.56, 0x0000, 27.1184,0x0000, 26.8543,0x0000, 602.467,0x0000
2016-3-1 05:45:00, 835.547,0x0000, 835.547,0x0000, 27.2405,0x0000, 27.118, 0x0000, 599.675,0x0000
2016-3-1 05:50:00, 836.404,0x0000, 836.404,0x0000, 27.6801,0x0000, 27.4373,0x0000, 600.923,0x0000
2016-3-1 05:55:00, 839.83, 0x0000, 839.83, 0x0000, 27.6801,0x0000, 27.548, 0x0000, 600.312,0x0000
2016-3-1 06:00:00, 838.117,0x0000, 838.117,0x0000, 26.9475,0x0000, 27.1689,0x0000, 596.552,0x0000
2016-3-1 06:05:00, 849.252,0x0000, 849.252,0x0000, 27.3748,0x0000, 27.8845,0x0000, 598.78, 0x0000
2016-3-1 06:10:00, 869.809,0x0000, 869.809,0x0000, 27.7411,0x0000, 28.2458,0x0000, 600.656,0x0000
2016-3-1 06:15:00, 880.087,0x0000, 880.087,0x0000, 28.1074,0x0000, 28.6273,0x0000, 599.274,0x0000
2016-3-1 06:20:00, 875.804,0x0000, 875.804,0x0000, 28.6569,0x0000, 28.8401,0x0000, 600.898,0x0000
2016-3-1 06:25:00, 881.8,  0x0000, 881.8,  0x0000, 28.6569,0x0000, 28.9158,0x0000, 600.27, 0x0000
2016-3-1 06:30:00, 889.509,0x0000, 889.509,0x0000, 28.4737,0x0000, 29.0262,0x0000, 599.644,0x0000
2016-3-1 06:35:00, 899.787,0x0000, 899.787,0x0000, 28.5958,0x0000, 29.1488,0x0000, 597.499,0x0000
2016-3-1 06:40:00, 894.648,0x0000, 894.648,0x0000, 29.2063,0x0000, 29.6265,0x0000, 604.629,0x0000
