时间,UNIT3:HHA71AS001XQ01数值,UNIT3:HHA71AS001XQ01状态,UNIT3:HHA72AS001XQ01数值,UNIT3:HHA72AS001XQ01状态,UNIT3:HHA73AS001XQ01数值,UNIT3:HHA73AS001XQ01状态,UNIT3:HHA74AS001XQ01数值,UNIT3:HHA74AS001XQ01状态,UNIT3:HHA81AS001XQ01数值,UNIT3:HHA81AS001XQ01状态,UNIT3:HHA82AS001XQ01数值,UNIT3:HHA82AS001XQ01状态,UNIT3:HHA83AS001XQ01数值,UNIT3:HHA83AS001XQ01状态,UNIT3:HHA84AS001XQ01数值,UNIT3:HHA84AS001XQ01状态,
	2016-3-15 03:50:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 04:00:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 04:10:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 04:20:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 04:30:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 04:40:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 04:50:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 05:00:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 05:10:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 05:20:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 05:30:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 05:40:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-15 05:50:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
