时间,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,
	2016-3-9 08:00:00,	19.3223,	0x0000,	36.9658,	0x0000,	24.3895,	0x0000,	36.8437,	0x0000,	0.824176,	0x0000,	3.08303,	0x0000,	-0.518925,	0x0200,	87.149,	0x0000,
	2016-3-9 08:01:00,	21.0317,	0x0000,	38.9194,	0x0000,	26.221,	0x0000,	39.1026,	0x0000,	0.824176,	0x0000,	3.99878,	0x0000,	-0.457875,	0x0200,	87.3321,	0x0000,
	2016-3-9 08:02:00,	22.3748,	0x0000,	40.6899,	0x0000,	27.5641,	0x0000,	40.3846,	0x0000,	0.824176,	0x0000,	1.55678,	0x0000,	-0.518925,	0x0200,	79.884,	0x0000,
	2016-3-9 08:03:00,	23.9622,	0x0000,	42.7656,	0x0000,	29.3346,	0x0000,	42.3382,	0x0000,	0.824176,	0x0000,	1.00733,	0x0000,	2.28938,	0x0000,	77.2589,	0x0000,
	2016-3-9 08:04:00,	25.3663,	0x0000,	45.1465,	0x0000,	30.8608,	0x0000,	44.9634,	0x0000,	0.824176,	0x0000,	2.53358,	0x0000,	2.16728,	0x0000,	73.3516,	0x0000,
	2016-3-9 08:05:00,	28.1136,	0x0000,	47.8327,	0x0000,	33.4249,	0x0000,	47.3443,	0x0000,	0.824176,	0x0000,	1.00733,	0x0000,	5.52503,	0x0000,	69.7497,	0x0000,
	2016-3-9 08:06:00,	28.8462,	0x0000,	49.7863,	0x0000,	34.0354,	0x0000,	49.42,	0x0000,	0.824176,	0x0000,	2.04518,	0x0000,	3.93773,	0x0000,	65.8425,	0x0000,
	2016-3-9 08:07:00,	30.2503,	0x0000,	51.0684,	0x0000,	35.5617,	0x0000,	50.4579,	0x0000,	0.763126,	0x0000,	1.06837,	0x0000,	3.75458,	0x0000,	58.8217,	0x0000,
	2016-3-9 08:08:00,	31.8987,	0x0000,	51.5568,	0x0000,	37.3321,	0x0000,	51.2515,	0x0000,	0.824176,	0x0000,	1.06837,	0x0000,	8.21123,	0x0000,	52.5946,	0x0000,
	2016-3-9 08:09:00,	30.9219,	0x0000,	53.2662,	0x0000,	36.2943,	0x0000,	52.7778,	0x0000,	0.702076,	0x0000,	1.00733,	0x0000,	6.62393,	0x0000,	44.7192,	0x0000,
	2016-3-9 08:10:00,	30.7387,	0x0000,	54.3651,	0x0000,	36.1111,	0x0000,	53.8156,	0x0000,	0.702076,	0x0000,	1.00733,	0x0000,	4.97558,	0x0000,	39.1636,	0x0000,
	2016-3-9 08:11:00,	32.6313,	0x0000,	57.1734,	0x0000,	38.1868,	0x0000,	56.8071,	0x0000,	0.824176,	0x0000,	1.00733,	0x0000,	7.90598,	0x0000,	33.8523,	0x0000,
	2016-3-9 08:12:00,	34.4628,	0x0000,	61.1416,	0x0000,	39.9573,	0x0000,	60.7753,	0x0000,	0.763126,	0x0000,	2.59463,	0x0000,	10.7143,	0x0000,	30.3724,	0x0000,
	2016-3-9 08:13:00,	35.8059,	0x0000,	64.1331,	0x0000,	41.1783,	0x0000,	63.5226,	0x0000,	0.763126,	0x0000,	13.0952,	0x0000,	19.0171,	0x0000,	35.6227,	0x0000,
	2016-3-9 08:14:00,	38.431,	0x0000,	65.7814,	0x0000,	43.9255,	0x0000,	65.1709,	0x0000,	0.763126,	0x0000,	16.514,	0x0000,	24.1453,	0x0000,	35.928,	0x0000,
	2016-3-9 08:15:00,	41.7277,	0x0000,	69.0171,	0x0000,	47.0391,	0x0000,	68.0403,	0x0000,	0.702076,	0x0000,	21.337,	0x0000,	30.0061,	0x0000,	38.431,	0x0000,
	2016-3-9 08:16:00,	43.0708,	0x0000,	69.6276,	0x0000,	48.6874,	0x0000,	70.0549,	0x0000,	2.04518,	0x0000,	24.9389,	0x0000,	32.2039,	0x0000,	38.431,	0x0000,
	2016-3-9 08:17:00,	43.9866,	0x0000,	70.2991,	0x0000,	49.2979,	0x0000,	69.4445,	0x0000,	0.702076,	0x0000,	27.3199,	0x0000,	33.9744,	0x0000,	36.4164,	0x0000,
	2016-3-9 08:18:00,	40.5067,	0x0000,	66.7582,	0x0000,	46.0012,	0x0000,	66.0867,	0x0000,	0.702076,	0x0000,	25.9768,	0x0000,	31.8987,	0x0000,	32.8755,	0x0000,
	2016-3-9 08:19:00,	42.4603,	0x0000,	70.2991,	0x0000,	47.8938,	0x0000,	69.3834,	0x0000,	2.10623,	0x0000,	32.5702,	0x0000,	37.7595,	0x0000,	38.4921,	0x0000,
	2016-3-9 08:20:00,	47.8938,	0x0000,	74.939,	0x0000,	53.4493,	0x0000,	73.84,	0x0000,	6.92918,	0x0000,	36.5995,	0x0000,	41.7277,	0x0000,	41.3614,	0x0000,
	2016-3-9 08:21:00,	53.5104,	0x0000,	80.9219,	0x0000,	59.3101,	0x0000,	79.884,	0x0000,	11.0806,	0x0000,	38.9805,	0x0000,	44.9634,	0x0000,	48.0769,	0x0000,
	2016-3-9 08:22:00,	56.2576,	0x0000,	84.707,	0x0000,	62.1184,	0x0000,	83.7302,	0x0000,	12.4847,	0x0000,	39.652,	0x0000,	44.475,	0x0000,	50.5189,	0x0000,
	2016-3-9 08:23:00,	59.5543,	0x0000,	87.5763,	0x0000,	65.293,	0x0000,	86.2943,	0x0000,	15.5983,	0x0000,	39.1636,	0x0000,	44.3529,	0x0000,	49.4811,	0x0000,
	2016-3-9 08:24:00,	62.2405,	0x0000,	91.2393,	0x0000,	68.1624,	0x0000,	90.0794,	0x0000,	19.6276,	0x0000,	37.6374,	0x0000,	44.1087,	0x0000,	51.862,	0x0000,
	2016-3-9 08:25:00,	62.79,	0x0000,	93.254,	0x0000,	68.5287,	0x0000,	91.7888,	0x0000,	19.7497,	0x0000,	37.7595,	0x0000,	43.3761,	0x0000,	53.7546,	0x0000,
	2016-3-9 08:26:00,	67.3077,	0x0000,	100.58,	0x0200,	72.9853,	0x0000,	99.7863,	0x0000,	26.9536,	0x0000,	42.7656,	0x0000,	45.9402,	0x0000,	63.3394,	0x0000,
	2016-3-9 08:27:00,	73.4737,	0x0000,	100.58,	0x0200,	79.0904,	0x0000,	99.7863,	0x0000,	29.0293,	0x0000,	44.1087,	0x0000,	45.4518,	0x0000,	72.9853,	0x0000,
