时间,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,
	2016-3-12 02:40:00,	13.1563,	0x0000,	37.8205,	0x0000,	13.7668,	0x0000,	43.3761,	0x0000,	56.3187,	0x0000,	2.41148,	0x0000,	3.32723,	0x0000,	52.1673,	0x0000,
	2016-3-12 02:41:00,	15.293,	0x0000,	38.37,	0x0000,	16.0867,	0x0000,	43.9866,	0x0000,	58.2723,	0x0000,	1.06837,	0x0000,	3.38828,	0x0000,	50.3358,	0x0000,
	2016-3-12 02:42:00,	15.6593,	0x0000,	37.0269,	0x0000,	16.453,	0x0000,	42.5214,	0x0000,	59.6764,	0x0000,	1.06837,	0x0000,	1.98413,	0x0000,	49.0537,	0x0000,
	2016-3-12 02:43:00,	15.6593,	0x0000,	37.0269,	0x0000,	16.453,	0x0000,	42.6435,	0x0000,	59.6764,	0x0000,	1.06837,	0x0000,	-0.946275,	0x0200,	48.4432,	0x0000,
	2016-3-12 02:44:00,	16.514,	0x0000,	36.4774,	0x0000,	17.5519,	0x0000,	41.9109,	0x0000,	58.5775,	0x0000,	1.06837,	0x0000,	-1.12943,	0x0200,	45.0855,	0x0000,
	2016-3-12 02:45:00,	16.8193,	0x0000,	37.0269,	0x0000,	17.8571,	0x0000,	42.3993,	0x0000,	55.4029,	0x0000,	1.06837,	0x0000,	-1.12943,	0x0200,	43.1319,	0x0000,
	2016-3-12 02:46:00,	15.8425,	0x0000,	35.3175,	0x0000,	17.1245,	0x0000,	40.9951,	0x0000,	52.1673,	0x0000,	0.946277,	0x0000,	-1.12943,	0x0200,	38.0037,	0x0000,
	2016-3-12 02:47:00,	15.232,	0x0000,	35.0122,	0x0000,	16.1477,	0x0000,	40.812,	0x0000,	49.1148,	0x0000,	1.06837,	0x0000,	-1.12943,	0x0200,	32.7534,	0x0000,
	2016-3-12 02:48:00,	17.0024,	0x0000,	35.4396,	0x0000,	17.735,	0x0000,	40.9951,	0x0000,	45.3297,	0x0000,	1.06837,	0x0000,	-0.946275,	0x0200,	29.9451,	0x0000,
	2016-3-12 02:49:00,	17.4908,	0x0000,	35.7448,	0x0000,	18.4066,	0x0000,	41.3004,	0x0000,	41.3004,	0x0000,	1.06837,	0x0000,	-1.12943,	0x0200,	24.3895,	0x0000,
	2016-3-12 02:50:00,	17.4908,	0x0000,	35.7448,	0x0000,	18.4066,	0x0000,	41.3004,	0x0000,	37.3932,	0x0000,	1.06837,	0x0000,	-1.12943,	0x0200,	17.735,	0x0000,
	2016-3-12 02:51:00,	18.895,	0x0000,	36.9048,	0x0000,	19.6886,	0x0000,	42.2161,	0x0000,	33.9744,	0x0000,	1.06837,	0x0000,	-1.12943,	0x0200,	14.1331,	0x0000,
	2016-3-12 02:52:00,	19.7497,	0x0000,	37.5153,	0x0000,	20.4212,	0x0000,	43.1319,	0x0000,	29.1514,	0x0000,	1.06837,	0x0000,	-1.12943,	0x0200,	10.5922,	0x0000,
	2016-3-12 02:53:00,	21.398,	0x0000,	37.9426,	0x0000,	22.2527,	0x0000,	43.8034,	0x0000,	26.5263,	0x0000,	1.06837,	0x0000,	-1.06838,	0x0200,	6.86813,	0x0000,
