时间,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,
	2016-3-16 06:40:00,	-2.65568,	0x1300,	0.579976,	0x0000,	-0.0305248,	0x0200,	0.335776,	0x0000,	19.0171,	0x0000,	1.98413,	0x0000,	-0.213675,	0x0200,	35.928,	0x0000,
	2016-3-16 06:41:00,	-2.65568,	0x1300,	0.579976,	0x0000,	-0.0305248,	0x0200,	0.274726,	0x0000,	21.2149,	0x0000,	1.86203,	0x0000,	-0.518925,	0x0200,	34.5849,	0x0000,
	2016-3-16 06:42:00,	-2.65568,	0x1300,	0.579976,	0x0000,	-0.0305248,	0x0200,	3.14408,	0x0000,	26.4652,	0x0000,	1.86203,	0x0000,	0.091576,	0x0000,	33.9133,	0x0000,
	2016-3-16 06:43:00,	-2.65568,	0x1300,	0.579976,	0x0000,	-0.0915753,	0x0200,	0.274726,	0x0000,	33.0586,	0x0000,	3.08303,	0x0000,	2.59463,	0x0000,	34.4628,	0x0000,
	2016-3-16 06:44:00,	-2.65568,	0x1300,	1.55678,	0x0000,	-0.0915753,	0x0200,	1.98413,	0x0000,	43.3761,	0x0000,	5.52503,	0x0000,	5.83028,	0x0000,	35.8669,	0x0000,
	2016-3-16 06:45:00,	-2.65568,	0x1300,	1.80098,	0x0000,	-0.0915753,	0x0200,	2.47253,	0x0000,	49.7253,	0x0000,	7.90598,	0x0000,	6.80708,	0x0000,	37.9426,	0x0000,
	2016-3-16 06:46:00,	-2.65568,	0x1300,	1.06837,	0x0000,	-0.0915753,	0x0200,	1.43468,	0x0000,	55.1587,	0x0000,	10.348,	0x0000,	9.79854,	0x0000,	40.9341,	0x0000,
	2016-3-16 06:47:00,	-2.65568,	0x1300,	0.763126,	0x0000,	-0.0915753,	0x0200,	0.335776,	0x0000,	65.0488,	0x0000,	11.9353,	0x0000,	10.6532,	0x0000,	43.4982,	0x0000,
	2016-3-16 06:48:00,	-2.65568,	0x1300,	0.763126,	0x0000,	-0.0915753,	0x0200,	0.152625,	0x0000,	70.4823,	0x0000,	14.4383,	0x0000,	11.8742,	0x0000,	45.696,	0x0000,
	2016-3-16 06:49:00,	-2.65568,	0x1300,	0.763126,	0x0000,	-0.0915753,	0x0200,	0.213675,	0x0000,	74.3895,	0x0000,	16.6972,	0x0000,	14.1941,	0x0000,	49.6642,	0x0000,
	2016-3-16 06:50:00,	-2.65568,	0x1300,	0.763126,	0x0000,	-0.0915753,	0x0200,	0.213675,	0x0000,	78.0525,	0x0000,	19.5055,	0x0000,	13.5836,	0x0000,	52.5336,	0x0000,
	2016-3-16 06:51:00,	-2.65568,	0x1300,	0.763126,	0x0000,	-0.0915753,	0x0200,	0.274726,	0x0000,	79.2125,	0x0000,	18.2234,	0x0000,	12.3016,	0x0000,	51.9231,	0x0000,
	2016-3-16 06:52:00,	-2.65568,	0x1300,	0.641025,	0x0000,	-0.0305248,	0x0200,	0.274726,	0x0000,	76.3431,	0x0000,	18.956,	0x0000,	10.9585,	0x0000,	53.8767,	0x0000,
	2016-3-16 06:53:00,	-2.41148,	0x1300,	0.641025,	0x0000,	-0.0305248,	0x0200,	0.152625,	0x0000,	80.1893,	0x0000,	18.956,	0x0000,	10.9585,	0x0000,	55.2198,	0x0000,
