timeSegBegin,timeSegEnd,MW,THRTEMP,MSP,YRHRTEMPT,RRHRTEMPT,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,HHA11,HHA31,HHA51,HHA71,HHA81,HNA01A,HNA02A,O2,TAF,TOTALCOAL
2016-3-8 10:06:00,2016-3-8 11:30:00,978.2258,590.4827,30.5846,595.2651,596.086,-3.6173,2.4435,9.5187,0.6444,0.6752,6.2889,0.2719,-1.5878,84.0,84.0,84.0,84.0,84.0,97.1765,81.0588,3.015,3671.2594,358.6461
2016-3-8 12:51:00,2016-3-8 17:28:00,986.3683,595.9299,30.9225,598.4101,598.2811,-3.0753,8.1172,0.507,9.0619,0.8116,7.895,0.0286,-0.3113,84.3255,84.3076,84.3076,84.6133,84.6133,97.7698,80.9712,2.9982,3664.1719,359.596
2016-3-9 09:41:00,2016-3-9 11:07:00,980.4544,580.4443,30.6444,586.5042,589.2707,55.4511,63.9116,79.8051,60.2425,0.8171,35.3858,43.4322,-1.9414,80.3678,80.3678,80.2644,54.3678,53.3793,85.4483,86.5287,2.9371,3261.4001,352.6614
2016-3-9 14:20:00,2016-3-9 16:29:00,980.0343,581.2383,30.6912,582.5118,581.796,3.941,7.5007,18.3162,13.7571,0.6819,2.3938,6.6667,-2.0305,70.0038,70.0038,70.0,49.9231,49.9231,67.4769,99.2308,3.3062,3361.9404,357.9136
2016-3-10 07:35:00,2016-3-10 07:43:00,875.4711,527.7967,27.6967,529.3722,530.5167,28.1683,65.9533,64.2083,55.605,0.8444,2.4633,26.5061,-1.7067,71.1111,71.1111,71.1111,71.1111,71.1111,88.8889,67.5556,2.8272,2994.0189,309.1256
2016-3-10 09:07:00,2016-3-10 15:24:00,988.9328,599.0749,30.9308,600.2688,601.0223,-2.8583,8.1835,0.3893,10.9616,10.5103,12.0019,1.0947,34.4426,79.7884,79.7884,79.7884,79.7884,79.7884,99.7354,75.7685,2.9769,3605.2117,357.828
2016-3-11 06:35:00,2016-3-11 06:52:00,934.3344,567.3111,29.4672,572.2958,574.4883,-1.2997,24.7433,0.735,23.7628,32.5567,12.8733,30.4586,81.3556,75.5556,75.5556,75.5556,75.5556,75.5556,94.4444,70.7778,2.6856,3323.1553,330.1789
2016-3-11 08:59:00,2016-3-11 18:39:00,988.8198,599.9564,30.9627,603.288,602.8834,10.7018,16.986,11.0001,16.0718,nan,5.5647,0.5365,24.519,83.1325,83.1325,83.1377,76.3511,77.5731,99.6988,70.3692,2.9451,3563.9211,348.2922
2016-3-12 07:39:00,2016-3-12 07:49:00,896.7505,540.2591,27.73,548.1177,547.9459,-2.7336,0.81,-0.3414,6.3259,0.7455,0.94,-1.0109,-2.1959,77.2727,77.2727,77.2727,77.2727,77.2727,90.9091,57.2727,2.5259,3188.4677,329.6582
2016-3-14 07:02:00,2016-3-14 07:54:00,974.3227,589.5165,30.4225,591.6036,594.5876,-2.7949,-0.1881,0.0351,10.0891,0.6404,1.946,-0.0684,21.5199,88.3019,88.3019,88.3019,88.3019,88.3019,98.1132,68.6415,2.4934,3465.1163,330.023
2016-3-14 08:34:00,2016-3-14 11:44:00,988.2171,593.0213,30.8727,594.0458,596.1055,-2.1768,1.7833,0.6039,12.4356,1.5692,7.1867,nan,16.4792,78.5995,78.6309,78.2958,76.4162,78.6204,99.4764,68.6387,2.8912,3545.8675,331.8239
2016-3-14 12:02:00,2016-3-14 12:25:00,942.8096,553.4104,29.6133,550.3321,551.2181,-2.4108,0.6546,-0.2,10.3883,0.8475,2.3233,-0.14,-1.2179,52.7083,52.7083,52.7083,49.4792,52.7083,95.8333,66.125,2.9952,3477.3715,319.5994
2016-3-14 14:59:00,2016-3-14 18:48:00,986.1521,594.755,30.6204,594.1073,593.8865,-2.1725,1.0231,-0.4883,0.6321,0.9498,4.5324,0.0245,-0.6709,82.587,82.587,82.587,82.587,82.5826,99.5652,68.7,3.0099,3565.6529,nan
2016-3-14 21:08:00,2016-3-14 22:00:00,975.8096,586.7704,30.4373,585.636,583.1754,-2.213,0.7172,-0.6,1.09,0.7683,9.4327,-0.3125,-0.9887,83.3962,83.3962,83.3962,83.3962,83.3962,98.1132,67.6981,2.88,3520.3558,333.2228
2016-3-14 22:02:00,2016-3-14 22:15:00,921.3536,554.8936,28.6107,554.5568,552.4546,-2.5086,0.485,-1.12,0.2732,0.65,2.1661,-0.5364,-1.6264,78.9286,78.9286,78.9286,78.9286,78.9286,92.8571,64.0714,2.9229,3351.3675,313.425
2016-3-15 06:26:00,2016-3-15 07:56:00,983.3329,586.7979,30.6631,586.6,590.5866,-2.9502,-0.4348,-0.6102,-0.3042,0.8204,1.4579,-0.8548,-1.9954,84.0659,84.0659,84.0659,84.0659,84.0659,98.9011,80.1099,2.793,3561.5615,340.4945
2016-3-16 06:42:00,2016-3-16 06:55:00,912.5739,559.5575,28.9671,561.5168,563.7818,-2.4382,0.8143,-0.0664,0.6996,59.8096,12.1329,8.8618,42.6036,83.5714,83.5714,83.5714,60.3571,60.3571,92.8571,61.4286,2.7357,3219.5264,307.2121
2016-3-16 07:10:00,2016-3-16 07:43:00,960.0474,581.1497,29.9243,586.1772,587.3794,-1.2004,0.9224,1.1399,1.0931,39.0562,9.9824,4.981,33.1326,87.3529,87.3529,87.3529,63.0882,63.0882,97.0588,62.1176,2.8081,3339.0791,324.3429
2016-3-16 21:19:00,2016-3-16 22:11:00,973.3598,583.8639,30.3013,581.1227,583.3696,8.2456,1.1429,18.9278,1.3615,31.825,2.3689,0.7275,23.0157,78.4906,78.4906,78.4906,63.7736,63.7736,98.1132,72.4717,2.9838,3601.3699,343.5508
2016-3-17 21:19:00,2016-3-17 22:16:00,976.9341,585.5146,30.2937,588.0277,594.088,-1.8253,0.9771,1.2734,1.4189,1.8448,2.7078,2.4632,3.9028,88.4483,88.4483,88.4483,63.8793,63.8793,98.2759,71.1379,3.0286,3557.3871,354.3243
