时间,UNIT3:HNA00AA001AXQ01数值,UNIT3:HNA00AA001AXQ01状态,UNIT3:HNA00AA001BXQ01数值,UNIT3:HNA00AA001BXQ01状态,UNIT3:HNA00AA002AXQ01数值,UNIT3:HNA00AA002AXQ01状态,UNIT3:HNA00AA002BXQ01数值,UNIT3:HNA00AA002BXQ01状态,
	2016-3-29 03:10:00,	90,	0x0000,	90,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 03:20:00,	90,	0x0000,	90,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 03:30:00,	82,	0x0000,	82,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 03:40:00,	82,	0x0000,	82,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 03:50:00,	82,	0x0000,	82,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 04:00:00,	82,	0x0000,	82,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 04:10:00,	82,	0x0000,	82,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 04:20:00,	82,	0x0000,	82,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 04:30:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 04:40:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 04:50:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 05:00:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 05:10:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 05:20:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 05:30:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 05:40:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 05:50:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 06:00:00,	74,	0x0000,	74,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 06:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 06:20:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 06:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 06:40:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 06:50:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 07:00:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 07:10:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 07:20:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 07:30:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 07:40:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 07:50:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 08:00:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 08:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 08:20:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 08:30:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 08:40:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 08:50:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 09:00:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 09:10:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-29 09:20:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-29 09:30:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-29 09:40:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-29 09:50:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-29 10:00:00,	100,	0x0000,	100,	0x0000,	72,	0x0000,	72,	0x0000,
	2016-3-29 10:10:00,	100,	0x0000,	100,	0x0000,	68,	0x0000,	68,	0x0000,
	2016-3-29 10:20:00,	100,	0x0000,	100,	0x0000,	68,	0x0000,	68,	0x0000,
	2016-3-29 10:30:00,	100,	0x0000,	100,	0x0000,	68,	0x0000,	68,	0x0000,
	2016-3-29 10:40:00,	100,	0x0000,	100,	0x0000,	68,	0x0000,	68,	0x0000,
	2016-3-29 10:50:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 11:00:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 11:10:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 11:20:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 11:30:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 11:40:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 11:50:00,	100,	0x0000,	100,	0x0000,	76,	0x0000,	76,	0x0000,
	2016-3-29 12:00:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 12:10:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 12:20:00,	76,	0x0000,	76,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 12:30:00,	76,	0x0000,	76,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 12:40:00,	76,	0x0000,	76,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 12:50:00,	76,	0x0000,	76,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 13:00:00,	68,	0x0000,	68,	0x0000,	100,	0x0000,	100,	0x0000,
